rank,strategy,IS_months,IS_ann_ret,IS_ann_vol,IS_sharpe,IS_cer_ann,IS_avg_turnover,IS_avg_risky_weight,IS_max_drawdown,OOS_months,OOS_ann_ret,OOS_ann_vol,OOS_sharpe,OOS_cer_ann,OOS_avg_turnover,OOS_avg_risky_weight,OOS_max_drawdown,IS_OOS_months,IS_OOS_ann_ret,IS_OOS_ann_vol,IS_OOS_sharpe,IS_OOS_cer_ann,IS_OOS_avg_turnover,IS_OOS_avg_risky_weight,IS_OOS_max_drawdown
1,myopic,240,0.1169946208630743,0.1037528977169813,1.1219853991074455,0.0894975768918653,0.3997127029072733,0.6712573690545923,-0.1351703542717974,239,0.0610094678540658,0.1143924063206121,0.5757893937654402,0.0331518777271651,0.4828700393915635,0.7652471254071852,-0.2084744796546268,479,0.08870064790906707,0.1093210862376326,0.8341514674476226,0.061312594767649574,0.4412045680841947,0.7181541368380365,-0.21148560328821076
1,pipinn,240,0.1403786363012122,0.108143540891031,1.2740005472647695,0.1085373666871983,0.7311692426775239,0.7788450977502873,-0.1291310164956381,239,0.0873589818525468,0.1300484132776628,0.7109678017348328,0.0501787600170285,0.8816918426643489,0.955146217700359,-0.2321552076563628,479,0.11360864068398935,0.11962982302610452,0.9626770384853989,0.07938664735215997,0.8062734209590504,0.8668116273287156,-0.23215520765636266
1,pipinn_zero,240,0.1403055740823093,0.1086121894009941,1.2683926193263864,0.1082713801889069,0.7562138815384974,0.7972054428711421,-0.1244674893473838,239,0.0853341263263389,0.1308924013077339,0.6929137335381447,0.0478650906816528,0.8855469416028342,0.958450198791887,-0.2472024523358136,479,0.1125377382840842,0.1203125825732022,0.9498520244677521,0.07809135631251571,0.8207454083764443,0.8776595068900523,-0.2472024523358134
2,myopic,240,0.1187048658471865,0.1014006618929885,1.1608402811083005,0.0920047372755841,0.3800441540340281,0.6532047466579546,-0.1284375550107804,239,0.0699202711576134,0.1032409394396047,0.7074429423661842,0.0463903450288726,0.4514566235749243,0.7385112577818959,-0.1827282108337351,479,0.09409160213393442,0.10241951766753155,0.9316598730851589,0.06919576083345112,0.41567584551685516,0.6957689557573742,-0.18272821083373503
2,pipinn,240,0.1420711970629535,0.1098142761209128,1.2697025878590509,0.1092835324746911,0.718797727294797,0.7749729366234841,-0.1324671776502083,239,0.0973173870930468,0.117884229614123,0.8490225954177975,0.0653446456065221,0.8606761267056603,0.9562657092597984,-0.2126812541936764,479,0.11951738411851442,0.11393497676610262,1.0514768688082938,0.08734704529103642,0.7895888284622214,0.8654300820516241,-0.21268125419367645
2,pipinn_zero,240,0.1429714406102635,0.1101104074961293,1.273830270800152,0.1099512156013003,0.7418793210579584,0.7923242085831848,-0.1329449015929764,239,0.096049346528507,0.1184247803074063,0.8358597309845323,0.0639254335325073,0.8607468489766829,0.9566435692841966,-0.2370651596571685,479,0.11931351227557352,0.11437041796207136,1.0463135902904293,0.08696584137886466,0.801189006178157,0.8743123655926666,-0.23706515965716835
3,myopic,240,0.1187020952634878,0.1013918894523018,1.1609072530205735,0.0920057917458679,0.379908194045974,0.6531514008176453,-0.1284947171534164,239,0.0698765696007115,0.1032292008252279,0.707113657796652,0.046354108029414,0.4513837404227239,0.738551489000036,-0.1826296556440882,479,0.0940679465140366,0.10240963790696306,0.9315270789130214,0.06917801601142534,0.41557135810451934,0.6957623007666879,-0.18262965564408828
3,pipinn,240,0.1417334541047401,0.1098255319669655,1.2668630760303827,0.1089797925747756,0.7215615691299683,0.7751889336268167,-0.1323225582194159,239,0.0973087421416261,0.1179291971570423,0.8486759448308427,0.0653154339651342,0.8591673287091602,0.9565209170931102,-0.2112138683843681,479,0.11934708963911489,0.11396145076490288,1.0499125229395616,0.08718152363932836,0.7902208103396277,0.8656656435400613,-0.21121386838436818
3,pipinn_zero,240,0.1428947317406275,0.1101279348410869,1.2730291058515004,0.1098756613391145,0.7426554284780842,0.7923994703712807,-0.1328576136426219,239,0.0959508948235763,0.1184629218546433,0.8348646810572263,0.0638168498354356,0.8594388685114794,0.9567364080821354,-0.2371735686614823,479,0.1192257074926324,0.11439867117073599,1.0453914606797097,0.08687375404091806,0.800925245112701,0.8743963975380745,-0.2371735686614821
4,myopic,240,0.1169946208630743,0.1037528977169813,1.1219853991074455,0.0894975768918653,0.3997127029072733,0.6712573690545923,-0.1351703542717974,239,0.0610094678540658,0.1143924063206121,0.5757893937654402,0.0331518777271651,0.4828700393915635,0.7652471254071852,-0.2084744796546268,479,0.08870064790906707,0.1093210862376326,0.8341514674476226,0.061312594767649574,0.4412045680841947,0.7181541368380365,-0.21148560328821076
4,pipinn,240,0.1403602535434851,0.1081402241491031,1.2738858667777673,0.1085225329761766,0.731144539060837,0.7788169779551735,-0.1291310164956384,239,0.0873513831181733,0.1300289061606086,0.7109992539011748,0.0501816641724676,0.8814276694296559,0.9550092072920168,-0.2318337917701888,479,0.11359576335633892,0.11961771130295394,0.9626640751602769,0.07938068128085507,0.8061292325016465,0.8667291758915107,-0.2318337917701887
4,pipinn_zero,240,0.1403055740823093,0.1086121894009941,1.2683926193263864,0.1082713801889069,0.7562138815384974,0.7972054428711421,-0.1244674893473838,239,0.0853341263263389,0.1308924013077339,0.6929137335381447,0.0478650906816528,0.8855469416028342,0.958450198791887,-0.2472024523358136,479,0.1125377382840842,0.1203125825732022,0.9498520244677521,0.07809135631251571,0.8207454083764443,0.8776595068900523,-0.2472024523358134
