selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,optimizer_backend,block,selection_split_mode,train_start_date,train_end_date,val_start_date,val_end_date,train_obs,validation_months,validation_ce_est,validation_ce_predictive_static,validation_ce_myopic,validation_ce_zero,validation_ce_delta_predictive_static,validation_ce_delta_myopic,validation_ce_delta_zero,validation_sharpe_est,validation_turnover_est,validation_max_drawdown_est,validation_score,validation_cross_mode,validation_ce_equal_weight,validation_ce_delta_equal_weight,validation_ce_min_variance,validation_ce_delta_min_variance,validation_ce_risk_parity,validation_ce_delta_risk_parity,assigned_device,error
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__const__zero_cross,const__zero_cross,const,constant,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0847972987823651,0.0722639375060856,0.0722639375060856,0.0847972987823651,0.012533361276279492,0.012533361276279492,0.0,1.0784784957269726,0.6276866359109128,-0.147407999267243,0.0847972987823651,zero,0.0429754365861768,0.041821862196188296,0.005039295321805,0.0797580034605601,0.0378165494478775,0.0469807493344876,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.089257560051022,0.0720215229758336,0.0720215229758336,0.0902132294767025,0.017236037075188407,0.017236037075188407,-0.0009556694256804971,1.1352988305677676,0.5618865457722461,-0.1455306310936445,0.08830189062534151,estimated,0.0429754365861768,0.046282123464845205,0.005039295321805,0.08421826472921701,0.0378165494478775,0.05144101060314451,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0902132294767025,0.0720215229758336,0.0720215229758336,0.0902132294767025,0.018191706500868904,0.018191706500868904,0.0,1.1285680327947316,0.6089620110215913,-0.1606559232449435,0.0902132294767025,zero,0.0429754365861768,0.0472377928905257,0.005039295321805,0.0851739341548975,0.0378165494478775,0.052396680028825006,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__adcc,adcc,adcc,asset_adcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0892147940360128,0.0720073990667395,0.0720073990667395,0.09015102589877,0.0172073949692733,0.0172073949692733,-0.0009362318627571947,1.1345148458303789,0.5621050766057043,-0.145047444315215,0.08827856217325561,estimated,0.0429754365861768,0.046239357449836004,0.005039295321805,0.0841754987142078,0.0378165494478775,0.05139824458813531,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.09015102589877,0.0720073990667395,0.0720073990667395,0.09015102589877,0.018143626832030496,0.018143626832030496,0.0,1.1278564068636807,0.6091749223270995,-0.1607274832501944,0.09015102589877,zero,0.0429754365861768,0.0471755893125932,0.005039295321805,0.085111730576965,0.0378165494478775,0.0523344764508925,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__regime_dcc,regime_dcc,regime_dcc,asset_regime_dcc,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0877499439746938,0.0654035426708978,0.0654035426708978,0.0893009157338327,0.02234640130379599,0.02234640130379599,-0.0015509717591389027,1.120455505391993,0.5738767034645771,-0.1463384715907957,0.08619897221555489,estimated,0.0429754365861768,0.044774507388516994,0.005039295321805,0.0827106486528888,0.0378165494478775,0.0499333945268163,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0893009157338327,0.0654035426708978,0.0654035426708978,0.0893009157338327,0.023897373062934893,0.023897373062934893,0.0,1.1222862168895047,0.6200251044412798,-0.1603399208898337,0.0893009157338327,zero,0.0429754365861768,0.0463254791476559,0.005039295321805,0.0842616204120277,0.0378165494478775,0.0514843662859552,cuda:1,
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__regime_dcc__gated_cross,regime_dcc__gated_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,regime_gated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0884824935931128,0.0654035426708978,0.0654035426708978,0.0893009157338327,0.023078950922215,0.023078950922215,-0.0008184221407198933,1.126190914901362,0.5769118435899862,-0.1463464875443498,0.08766407145239291,regime_gated,0.0429754365861768,0.045507057006936004,0.005039295321805,0.0834431982713078,0.0378165494478775,0.05066594414523531,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__const,const,const,constant,factor_apt_regime,estimated,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0860681852576046,0.0696167556343284,0.0696167556343284,0.0842804401271573,0.016451429623276198,0.016451429623276198,0.001787745130447299,1.1048304264868951,0.595801107651404,-0.1405626019426025,0.0878559303880519,estimated,0.0429754365861768,0.043092748671427795,0.005039295321805,0.0810288899357996,0.0378165494478775,0.0482516358097271,cuda:1,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__const__zero_cross,const__zero_cross,const,constant,factor_apt_regime,zero,pure_qp,pipinn,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,192,240.0,0.0842804401271573,0.0696167556343284,0.0696167556343284,0.0842804401271573,0.014663684492828899,0.014663684492828899,0.0,1.066902207285443,0.6245492651274068,-0.1590513384974801,0.0842804401271573,zero,0.0429754365861768,0.041305003540980496,0.005039295321805,0.0792411448053523,0.0378165494478775,0.0464638906792798,cuda:1,
