selection_unit_id,spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,model_id,stage2_model_label,covariance_model_label,covariance_model_kind,mean_model_kind,cross_policy_label,selection_eval_mode,ppgdpo_lite_blocks_valid,ppgdpo_lite_score_mean,ppgdpo_lite_score_q10,ppgdpo_lite_ce_mean,ppgdpo_lite_predictive_static_ce_mean,ppgdpo_lite_myopic_ce_mean,ppgdpo_lite_equal_weight_ce_mean,ppgdpo_lite_min_variance_ce_mean,ppgdpo_lite_risk_parity_ce_mean,ppgdpo_lite_ce_delta_predictive_static_mean,ppgdpo_lite_ce_delta_myopic_mean,ppgdpo_lite_ce_delta_zero_mean,ppgdpo_lite_ce_delta_equal_weight_mean,ppgdpo_lite_ce_delta_min_variance_mean,ppgdpo_lite_ce_delta_risk_parity_mean,ppgdpo_lite_sharpe_mean,ppgdpo_lite_train_objective_mean,assigned_device,stage2_rank_myopic_ce,stage2_rank_ce_gain,stage2_rank_ppgdpo_score,stage2_rank_ppgdpo_q10,stage2_rank_hedging_gain,stage2_real_ppgdpo_score,stage2_mean_first_score,stage2_sort_score,diagnostic_rank,selected_stage2_model,selected_stage2_model_rank
pls_H12_k2__rolling240m_annual__regime_mean,pls_H12_k2,rolling240m_annual,rolling,240,12,1,pls_H12_k2__rolling240m_annual__regime_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt_regime,zero,pure_qp,1,0.09015102589877,0.09015102589877,0.09015102589877,0.0720073990667395,0.0720073990667395,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018143626832030496,0.018143626832030496,0.0,0.0471755893125932,0.085111730576965,0.0523344764508925,1.1278564068636807,,cuda:1,0.6971830985915493,0.619718309859155,0.8732394366197183,0.8732394366197183,0.6690140845070423,0.8221830985915493,0.8221830985915493,0.8221830985915493,11.0,False,
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1,0.0897475822277051,0.0897475822277051,0.0897475822277051,0.0717013733388092,0.0717013733388092,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018046208888895895,0.018046208888895895,0.0,0.0467721456415283,0.0847082869059001,0.0519310327798276,1.113557698318269,,cuda:0,0.5845070422535211,0.6056338028169015,0.8309859154929577,0.8309859154929577,0.6690140845070423,0.790492957746479,0.790492957746479,0.790492957746479,12.0,True,1.0
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__dcc__zero_cross,dcc__zero_cross,dcc,asset_dcc,factor_apt,zero,pure_qp,1,0.0897177430447224,0.0897177430447224,0.0897177430447224,0.0728093314755143,0.0728093314755143,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016908411569208096,0.016908411569208096,0.0,0.046742306458545595,0.0846784477229174,0.0519011935968449,1.1243225007375446,,cuda:0,0.9647887323943662,0.47887323943661975,0.8169014084507042,0.8169014084507042,0.6690140845070423,0.7799295774647887,0.7799295774647887,0.7799295774647887,13.0,True,3.0
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__baseline_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt,zero,pure_qp,1,0.0897013198711543,0.0897013198711543,0.0897013198711543,0.0716881036398699,0.0716881036398699,0.0429754365861768,0.005039295321805,0.0378165494478775,0.018013216231284407,0.018013216231284407,0.0,0.0467258832849775,0.0846620245493493,0.051884770423276806,1.1129722135246958,,cuda:0,0.556338028169014,0.5774647887323944,0.8028169014084507,0.8028169014084507,0.6690140845070423,0.7693661971830987,0.7693661971830987,0.7693661971830987,14.0,False,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__adcc__zero_cross,adcc__zero_cross,adcc,asset_adcc,factor_apt,zero,pure_qp,1,0.0896640896550721,0.0896640896550721,0.0896640896550721,0.0728018583383335,0.0728018583383335,0.0429754365861768,0.005039295321805,0.0378165494478775,0.0168622313167386,0.0168622313167386,0.0,0.046688653068895296,0.0846247943332671,0.0518475402071946,1.1237283330971122,,cuda:0,0.9366197183098591,0.46478873239436624,0.7887323943661972,0.7887323943661972,0.6690140845070423,0.7588028169014085,0.7588028169014085,0.7588028169014085,15.0,False,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt_regime,zero,pure_qp,1,0.0896527940450264,0.0896527940450264,0.0896527940450264,0.0623547734203462,0.0623547734203462,0.0429754365861768,0.005039295321805,0.0378165494478775,0.027298020624680196,0.027298020624680196,0.0,0.04667735745884959,0.0846134987232214,0.051836244597148896,1.1212644639159286,,cuda:1,0.05633802816901412,0.9859154929577465,0.7605633802816901,0.7605633802816901,0.6690140845070423,0.7376760563380282,0.7376760563380282,0.7376760563380282,16.0,False,
pls_H2_k2__rolling240m_annual__regime_mean,pls_H2_k2,rolling240m_annual,rolling,240,12,1,pls_H2_k2__rolling240m_annual__regime_mean__dcc,dcc,dcc,asset_dcc,factor_apt_regime,estimated,pure_qp,1,0.08988334171824092,0.08988334171824092,0.0902261495955256,0.0704928201560207,0.0704928201560207,0.0429754365861768,0.005039295321805,0.0378165494478775,0.019733329439504912,0.019733329439504912,-0.00034280787728468987,0.047250713009348806,0.08518685427372061,0.05240960014764811,1.141942516029605,,cuda:1,0.28873239436619713,0.7746478873239436,0.8450704225352113,0.8450704225352113,0.3661971830985915,0.7253521126760564,0.7253521126760564,0.7253521126760564,17.0,False,
pls_H1_k2__rolling240m_annual__regime_mean,pls_H1_k2,rolling240m_annual,rolling,240,12,1,pls_H1_k2__rolling240m_annual__regime_mean__regime_dcc,regime_dcc,regime_dcc,asset_regime_dcc,factor_apt_regime,estimated,pure_qp,1,0.0891092925396453,0.0891092925396453,0.0884745907442721,0.0616838096914077,0.0616838096914077,0.0429754365861768,0.005039295321805,0.0378165494478775,0.026790781052864393,0.026790781052864393,0.0006347017953731993,0.045499154158095294,0.0834352954224671,0.0506580412963946,1.1229311811214835,,cuda:1,0.014084507042253502,0.9577464788732395,0.647887323943662,0.647887323943662,0.9154929577464789,0.7147887323943662,0.7147887323943662,0.7147887323943662,18.0,False,
pls_H24_k2__rolling240m_annual__baseline_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__baseline_mean__regime_dcc__zero_cross,regime_dcc__zero_cross,regime_dcc,asset_regime_dcc,factor_apt,zero,pure_qp,1,0.0894709862809998,0.0894709862809998,0.0894709862809998,0.072040841068242,0.072040841068242,0.0429754365861768,0.005039295321805,0.0378165494478775,0.01743014521275779,0.01743014521275779,0.0,0.046495549694822995,0.0844316909591948,0.0516544368331223,1.124014688092187,,cuda:0,0.7887323943661972,0.5492957746478873,0.7183098591549295,0.7183098591549295,0.6690140845070423,0.7059859154929577,0.7059859154929577,0.7059859154929577,19.0,False,
pls_H24_k2__rolling240m_annual__regime_mean,pls_H24_k2,rolling240m_annual,rolling,240,12,1,pls_H24_k2__rolling240m_annual__regime_mean__const,const,const,constant,factor_apt_regime,estimated,pure_qp,1,0.0888854210538419,0.0888854210538419,0.0872844205789356,0.071032513369747,0.071032513369747,0.0429754365861768,0.005039295321805,0.0378165494478775,0.016251907209188593,0.016251907209188593,0.0016010004749063,0.044308983992758795,0.0822451252571306,0.0494678711310581,1.117594109761315,,cuda:1,0.4295774647887324,0.2816901408450704,0.6056338028169015,0.6056338028169015,0.9859154929577465,0.7007042253521127,0.7007042253521127,0.7007042253521127,20.0,False,
