selection_unit_id,spec,kind,factor_dim,state_dim,horizon,latent_k,feature_blocks,provided_source,residual_base,residual_k,stage1_engine,legacy_spec,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,train_obs_mean,train_obs_min_mean,train_obs_max_mean,cross_mean_abs_rho,cross_max_abs_rho,n_blocks,selection_split_mode,selection_val_months_requested,fail_return,fail_state,fail_cross,warn_cross,passes_guard,score_ret_mean_rank,score_ret_q10_rank,score_state_mean_rank,score_state_q10_rank,score_ret_mean_component,score_ret_q10_component,score_state_mean_component,score,stage1_mean_variant_label,mean_model_kind,cheap_rank,cheap_selected_for_rerank,recommended,official_selected_stage1,diagnostic_stage2,stage1_selected_rank
pls_H3_k2__rolling240m_annual__baseline_mean,pls_H3_k2,pls,2,2,3.0,2.0,returns,,,,ported_legacy_v2,pls_H3_k2,rolling240m_annual,rolling,240,12,1,0.042794079186349726,0.03898223382144317,-0.009086482835348804,-0.03529473595736975,0.5873548059643869,0.5873548059643869,0.525166785000602,0.470411989772691,234.0,192.0,240.0,0.5888717294339311,0.9270072833310674,1,trailing_holdout,240,False,False,False,False,True,0.88,0.8200000000000001,0.48,0.5,0.03637496730839727,-0.0013629724253023205,0.0,0.03501199488309495,baseline_mean,factor_apt,11,False,False,False,False,
pls_H3_k2__rolling240m_annual__regime_mean,pls_H3_k2,pls,2,2,3.0,2.0,returns,,,,ported_legacy_v2,pls_H3_k2,rolling240m_annual,rolling,240,12,1,0.042794079186349726,0.03898223382144317,-0.009086482835348804,-0.03529473595736975,0.5873548059643869,0.5873548059643869,0.525166785000602,0.470411989772691,234.0,192.0,240.0,0.5888717294339311,0.9270072833310674,1,trailing_holdout,240,False,False,False,False,True,0.88,0.8200000000000001,0.48,0.5,0.03637496730839727,-0.0013629724253023205,0.0,0.03501199488309495,regime_mean,factor_apt_regime,12,False,False,False,False,
pls_ret_ff5_curve_macro7_H2_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H2_k1,pls,1,1,2.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03464880490104075,0.03817862924197435,-0.005184250159817568,-0.02373012189700552,0.8003346438753816,0.8003346438753816,0.6788077147532117,0.547725984489041,234.0,192.0,240.0,0.5079118406791904,0.9142936132678277,1,trailing_holdout,240,False,False,False,False,True,0.78,0.86,0.64,0.62,0.029451484165884636,-0.0007776375239726351,0.0,0.028673846641912002,baseline_mean,factor_apt,13,False,False,False,False,
pls_ret_ff5_curve_macro7_H2_k1__rolling240m_annual__regime_mean,pls_ret_ff5_curve_macro7_H2_k1,pls,1,1,2.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03464880490104075,0.03817862924197435,-0.005184250159817568,-0.02373012189700552,0.8003346438753816,0.8003346438753816,0.6788077147532117,0.547725984489041,234.0,192.0,240.0,0.5079118406791904,0.9142936132678277,1,trailing_holdout,240,False,False,False,False,True,0.78,0.86,0.64,0.62,0.029451484165884636,-0.0007776375239726351,0.0,0.028673846641912002,regime_mean,factor_apt_regime,14,False,False,False,False,
pls_H24_k3__rolling240m_annual__baseline_mean,pls_H24_k3,pls,3,3,24.0,3.0,returns,,,,ported_legacy_v2,pls_H24_k3,rolling240m_annual,rolling,240,12,1,0.03819878530768835,0.03494332728355165,-0.030374823285799744,-0.04002516340640553,0.5463009630567851,0.5405144529782461,0.4809836379762558,0.4083945336203465,234.0,192.0,240.0,0.40778846266432595,0.9493870692400197,1,trailing_holdout,240,False,False,False,False,True,0.84,0.54,0.30000000000000004,0.28,0.0324689675115351,-0.004556223492869962,0.0,0.02791274401866514,baseline_mean,factor_apt,15,False,False,False,False,
pls_H24_k3__rolling240m_annual__regime_mean,pls_H24_k3,pls,3,3,24.0,3.0,returns,,,,ported_legacy_v2,pls_H24_k3,rolling240m_annual,rolling,240,12,1,0.03819878530768835,0.03494332728355165,-0.030374823285799744,-0.04002516340640553,0.5463009630567851,0.5405144529782461,0.4809836379762558,0.4083945336203465,234.0,192.0,240.0,0.40778846266432595,0.9493870692400197,1,trailing_holdout,240,False,False,False,False,True,0.84,0.54,0.30000000000000004,0.28,0.0324689675115351,-0.004556223492869962,0.0,0.02791274401866514,regime_mean,factor_apt_regime,16,False,False,False,False,
pls_ret_ff5_curve_macro7_H3_k1__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H3_k1,pls,1,1,3.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03293697998832008,0.03835348214702716,-0.0017008221793394106,-0.01497135165457882,0.7916619405866238,0.7916619405866238,0.6000003050235725,0.38981358111724396,234.0,192.0,240.0,0.33518937098136264,0.8921259756300923,1,trailing_holdout,240,False,False,False,False,True,0.76,0.94,0.6,0.56,0.027996432990072064,-0.00025512332690091156,0.0,0.027741309663171152,baseline_mean,factor_apt,17,False,False,False,False,
pls_ret_ff5_curve_macro7_H3_k1__rolling240m_annual__regime_mean,pls_ret_ff5_curve_macro7_H3_k1,pls,1,1,3.0,1.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.03293697998832008,0.03835348214702716,-0.0017008221793394106,-0.01497135165457882,0.7916619405866238,0.7916619405866238,0.6000003050235725,0.38981358111724396,234.0,192.0,240.0,0.33518937098136264,0.8921259756300923,1,trailing_holdout,240,False,False,False,False,True,0.76,0.94,0.6,0.56,0.027996432990072064,-0.00025512332690091156,0.0,0.027741309663171152,regime_mean,factor_apt_regime,18,False,False,False,False,
pls_ret_ff5_curve_macro7_H1_k2__rolling240m_annual__baseline_mean,pls_ret_ff5_curve_macro7_H1_k2,pls,2,2,1.0,2.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.04504835697440349,0.03785062446500198,-0.07766615493644431,-0.10911336417793009,0.7393635754881402,0.7393635754881402,0.5589010403316581,0.5219264593036945,234.0,192.0,240.0,0.633877476933917,0.8069823080849572,1,trailing_holdout,240,False,False,False,False,True,0.94,0.21999999999999997,0.54,0.54,0.03829110342824297,-0.011649923240466646,0.0,0.026641180187776323,baseline_mean,factor_apt,19,False,False,False,False,
pls_ret_ff5_curve_macro7_H1_k2__rolling240m_annual__regime_mean,pls_ret_ff5_curve_macro7_H1_k2,pls,2,2,1.0,2.0,returns|ff5|curve_core|macro7,,,,ported_legacy_v2,,rolling240m_annual,rolling,240,12,1,0.04504835697440349,0.03785062446500198,-0.07766615493644431,-0.10911336417793009,0.7393635754881402,0.7393635754881402,0.5589010403316581,0.5219264593036945,234.0,192.0,240.0,0.633877476933917,0.8069823080849572,1,trailing_holdout,240,False,False,False,False,True,0.94,0.21999999999999997,0.54,0.54,0.03829110342824297,-0.011649923240466646,0.0,0.026641180187776323,regime_mean,factor_apt_regime,20,False,False,False,False,
