selection_unit_id,spec,kind,block,selection_split_mode,train_start_date,train_end_date,val_start_date,val_end_date,selection_protocol_name,train_window_mode,rolling_train_months,refit_every,rebalance_every,train_obs,train_obs_min,train_obs_max,val_obs,r2_oos_ret_mean,r2_oos_ret_median,r2_roll_ret_q10,r2_roll_ret_min,r2_oos_state_mean,r2_oos_state_median,r2_roll_state_q10,r2_roll_state_min,stage1_engine,cross_mean_abs_rho,cross_max_abs_rho
pls_H1_k1__rolling240m_annual__baseline_mean,pls_H1_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.017979423610254768,0.017227976446014814,-0.01655044250448391,-0.02652882819144305,0.5786784272895562,0.5786784272895562,0.500200739930788,0.4044037576575922,ported_legacy_v2,0.0,0.0
pls_H1_k2__rolling240m_annual__baseline_mean,pls_H1_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.04599483683163494,0.042465320953960495,-0.0006814833690415023,-0.02672979464824226,0.5853276715012625,0.5853276715012625,0.5174663350017368,0.4730424408508606,ported_legacy_v2,0.4490531506885294,0.4490531506885294
pls_H2_k1__rolling240m_annual__baseline_mean,pls_H2_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.022387614456758038,0.024004196615339812,-0.011657515016978266,-0.019920083543555026,0.586057249214601,0.586057249214601,0.5050125260832248,0.3934040048548417,ported_legacy_v2,0.0,0.0
pls_H2_k2__rolling240m_annual__baseline_mean,pls_H2_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.04530791445315138,0.0414605120053011,-0.0028440520814641485,-0.029376634484264356,0.5821860685293003,0.5821860685293003,0.5193710348464198,0.46920263686039004,ported_legacy_v2,0.48639986667799556,0.48639986667799556
pls_H3_k1__rolling240m_annual__baseline_mean,pls_H3_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.020007628213860422,0.02082330074230998,-0.015751659924738495,-0.024840675284388034,0.5803615276858605,0.5803615276858605,0.4946876636221743,0.39058536025672763,ported_legacy_v2,0.0,0.0
pls_H3_k2__rolling240m_annual__baseline_mean,pls_H3_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.042794079186349726,0.03898223382144317,-0.009086482835348804,-0.03529473595736975,0.5873548059643869,0.5873548059643869,0.525166785000602,0.470411989772691,ported_legacy_v2,0.5163476831373569,0.5163476831373569
pls_H6_k1__rolling240m_annual__baseline_mean,pls_H6_k1,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.027075820876334374,0.03274545536788376,-0.004124441809816292,-0.012245709204260232,0.5924133246321068,0.5924133246321068,0.5139328360953697,0.37935292390571973,ported_legacy_v2,0.0,0.0
pls_H6_k2__rolling240m_annual__baseline_mean,pls_H6_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.04385078196245705,0.03993670790770243,-0.006463955690601603,-0.03280516629070261,0.5756889488522338,0.5756889488522338,0.5108803644236338,0.46516838631409063,ported_legacy_v2,0.4848226467551412,0.4848226467551412
pls_H6_k3__rolling240m_annual__baseline_mean,pls_H6_k3,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.020138640333812963,0.02092089433817268,-0.024295605387041945,-0.042454704760218696,0.5118123001936918,0.5401683437334377,0.4985762161208716,0.4380575443959402,ported_legacy_v2,0.2905203107512287,0.48482264675514036
pls_H12_k2__rolling240m_annual__baseline_mean,pls_H12_k2,pls,valholdout240_198001_199912,trailing_holdout,1964-01-31,1979-12-31,1980-01-31,1999-12-31,rolling240m_annual,rolling,240,12,1,234,192,240,240,0.04393403270776767,0.03924292567086418,-0.002989471125259799,-0.02799367512841348,0.5708345372217636,0.5708345372217636,0.5180973973616043,0.4732718293301915,ported_legacy_v2,0.4791732237939183,0.4791732237939183
