refit_index,decision_date,train_window_start,train_window_end,epoch_in_outer,lr,train_total,train_pde,train_bc,train_bc_dx,val_total,val_pde,val_bc,val_bc_dx,val_grad_l2_mean,val_grad_l2_std,val_grad_l2_cv,val_grad_dir_cos_mean,outer_iter,global_epoch
5,2004-01-31,1984-02-29,2004-01-31,1,0.0005,0.6960314700493463,0.028410566309524946,0.059631265374693154,0.023769416664296574,0.13723077563690508,0.024849484435474786,0.009459102048477247,0.0059300902388859395,0.09680232487910205,0.028734130228691465,0.2968330561042301,0.8335807720031294,1,1
5,2004-01-31,1984-02-29,2004-01-31,2,0.0005,0.14807054715774853,0.02644339846468241,0.010411521010574028,0.0058373128624419485,0.09254559175623915,0.023757083219064133,0.006376144321116068,0.0016756884420047805,0.07341142749489367,0.02735871212924292,0.37267647136366416,0.7636889980871479,1,2
5,2004-01-31,1984-02-29,2004-01-31,3,0.0005,0.10458940392694081,0.025431874968521513,0.007436491158533665,0.0015975391243608882,0.127663011410185,0.022815069609685046,0.009518826066962463,0.0032198937102917735,0.059787123538012535,0.021124536659112365,0.35332919624996223,0.3262987035502472,1,3
5,2004-01-31,1984-02-29,2004-01-31,4,0.0005,0.14030182489857482,0.024486299020638588,0.010651778618881244,0.0030992465630412646,0.1459965194550685,0.021991881904648437,0.01076915546220733,0.005437694309448925,0.05539155566291819,0.020829844231015558,0.37604728023395795,0.06570094092322301,1,4
5,2004-01-31,1984-02-29,2004-01-31,5,0.0005,0.15828368686649355,0.0236643787178255,0.01187453554685257,0.005291317560047451,0.12594251682596605,0.02129245409990694,0.008966395189356586,0.004995370277497746,0.05480082014370006,0.020331591589211988,0.37100888572267904,0.028927553907361805,1,5
5,2004-01-31,1984-02-29,2004-01-31,6,0.0005,0.13312897933919024,0.02297624752408009,0.009546392957075626,0.004896267414784629,0.07415116457579854,0.0208349412248089,0.004538591333219967,0.002643436672929986,0.056145671965408074,0.022208737854869768,0.39555564448488845,0.13689882355087135,1,6
5,2004-01-31,1984-02-29,2004-01-31,7,0.0005,0.07557225189133328,0.022539026705003296,0.004519991279467344,0.002611104130552178,0.03569519030656476,0.020678284008901593,0.001174137001491105,0.0010918454275840412,0.06451036832577202,0.02844027428403357,0.4408636096999002,0.4812066319201381,1,7
5,2004-01-31,1984-02-29,2004-01-31,8,0.0005,0.03654795459848474,0.022410120790703043,0.001089951368247405,0.0010794400417692151,0.05838188598710546,0.020618727101375172,0.003149616839996929,0.0020889968285870007,0.08157157365949012,0.02743844472208369,0.3363726253492334,0.8013400577002469,1,8
5,2004-01-31,1984-02-29,2004-01-31,9,0.0005,0.06610656283136686,0.022373862234702425,0.0037645902261573515,0.0020289327783636385,0.08652616485688083,0.0202942889557635,0.005651127002473565,0.003240201958793895,0.08921942279358375,0.025936489785287186,0.2907045201871436,0.8453093264280436,1,9
5,2004-01-31,1984-02-29,2004-01-31,10,0.0005,0.09796786677961977,0.022054303211940886,0.00664556462849346,0.003152639094248096,0.07542084399937166,0.019738961730205146,0.004711561437626518,0.0028554226309671104,0.0865617242106358,0.026414342696865305,0.3051503725531084,0.8310993199535683,1,10
5,2004-01-31,1984-02-29,2004-01-31,11,0.0005,0.08562979020672742,0.021495484738117396,0.0055798726021896155,0.0027785264822379582,0.0441944038681702,0.01898556525386907,0.0020377213250912527,0.0016105417877962042,0.07639056090552639,0.02804795331620343,0.3671651656508411,0.7522355278081952,1,11
5,2004-01-31,1984-02-29,2004-01-31,12,0.0005,0.04990958914758855,0.020733243739621716,0.002447231380890136,0.001568010533021822,0.030469331974504268,0.01808462808022545,0.000958316041224044,0.0009338478273461255,0.06315901947896195,0.02791469695570662,0.4419748239288307,0.4806468742705687,1,12
5,2004-01-31,1984-02-29,2004-01-31,13,0.0005,0.031653438182258596,0.01981644937575106,0.0009073668121047584,0.0009211068951533166,0.03809362400249085,0.017332367356352855,0.0017210478905582264,0.0011835925801852443,0.054671428017220275,0.024464246849099106,0.4474777281090168,0.1992179666711745,1,13
5,2004-01-31,1984-02-29,2004-01-31,14,0.0005,0.039071806218986954,0.019038133430656648,0.001654225108586936,0.0011638072341536476,0.046189680699258676,0.016901087315513628,0.0024946438815311818,0.0014473848561444118,0.05152142570614718,0.023208805338017984,0.450468995557704,0.10824066645165424,1,14
5,2004-01-31,1984-02-29,2004-01-31,15,0.0005,0.04893846638831012,0.018576336080691935,0.0026135110900381894,0.001409006469078764,0.045114709909823025,0.016702433158964983,0.002480658599898917,0.0012018969172896234,0.05124099658898443,0.024338875773335506,0.4749883280681439,0.15122419300475104,1,15
5,2004-01-31,1984-02-29,2004-01-31,16,0.0005,0.048615308326597696,0.018350606321665196,0.0026780729128966833,0.0011613242919885575,0.03366500196401294,0.016607544634372768,0.0015151017120035519,0.0006354800698682163,0.052445942211549176,0.02676372535592969,0.5103106878633851,0.24995904481404257,1,16
5,2004-01-31,1984-02-29,2004-01-31,17,0.0005,0.03657232701231539,0.01824042517548008,0.001650773005366786,0.0006080572610558187,0.021645632024945436,0.016535480372212724,0.0004133544131795651,0.0003255358403123539,0.05603546726665928,0.028416837374137454,0.5071223325717308,0.44658380852829,1,17
