rank,strategy,sample,return_date,net_return,gross_return,turnover,risky_weight,wealth
1,myopic,IS,1980-02-29,-0.0249035612899079,-0.0249035612899079,1.0,1.0,0.9750964387100921
1,myopic,IS,1980-03-31,0.0,0.0,1.0,0.0,0.9750964387100921
1,myopic,IS,1980-04-30,0.0,0.0,0.0,0.0,0.9750964387100921
1,myopic,IS,1980-05-31,0.0553053520541332,0.0553053520541332,1.0,1.0,1.0290244905396853
1,myopic,IS,1980-06-30,0.0379077115759234,0.0379077115759234,1.0381892001715172,1.0,1.0680324541316253
1,myopic,IS,1980-07-31,0.0892252507102303,0.0892252507102303,0.1356533625684808,1.0000000000000002,1.163327917618182
1,myopic,IS,1980-08-31,0.0652591048334472,0.0652591048334472,0.3565226204159463,1.0,1.239245656149703
1,myopic,IS,1980-09-30,0.022270592565657,0.022270592565657,0.4627585250557413,1.0000000000000002,1.2668443912465732
1,myopic,IS,1980-10-31,0.0245317964087203,0.0245317964087203,0.1749714273626202,1.0,1.2979223599341634
1,myopic,IS,1980-11-30,0.0281679088106691,0.0281679088106691,0.5203360221259336,0.5182521751175686,1.3344821186121172
1,myopic,IS,1980-12-31,-0.0444803438185167,-0.0444803438185167,0.4685497580251188,0.9999999999999998,1.2751238951565875
1,myopic,IS,1981-01-31,-0.0012323367361005,-0.0012323367361005,0.5392324368800939,0.6464918558172201,1.2735525131375065
1,myopic,IS,1981-02-28,0.0,0.0,0.6460556772257312,0.0,1.2735525131375065
1,myopic,IS,1981-03-31,0.0,0.0,0.0,0.0,1.2735525131375065
1,myopic,IS,1981-04-30,0.0189200101630141,0.0189200101630141,0.9999999999999998,0.9999999999999998,1.2976481396292001
1,myopic,IS,1981-05-31,0.0,0.0,0.9999999999999996,0.0,1.2976481396292001
1,myopic,IS,1981-06-30,-0.0082941936445717,-0.0082941936445717,0.3550152236978219,0.3550152236978219,1.2868851946765973
1,myopic,IS,1981-07-31,0.0,0.0,0.3496208531111342,0.0,1.2868851946765973
1,myopic,IS,1981-08-31,0.0,0.0,0.0,0.0,1.2868851946765973
1,myopic,IS,1981-09-30,0.0,0.0,0.0,0.0,1.2868851946765973
1,myopic,IS,1981-10-31,0.0,0.0,0.0,0.0,1.2868851946765973
1,myopic,IS,1981-11-30,0.0267277515770727,0.0267277515770727,0.4976976770648904,0.4976976770648904,1.3212807424681263
1,myopic,IS,1981-12-31,-0.0240605614215015,-0.0240605614215015,1.1436085718880786,0.9999999999999996,1.2894899860089248
1,myopic,IS,1982-01-31,-0.0090508321555986,-0.0090508321555986,0.9841073489021056,0.5718205261451954,1.2778190285792328
1,myopic,IS,1982-02-28,0.0011556518654229,0.0011556518654229,0.3828685879185743,0.1850411618961231,1.2792957425232834
1,myopic,IS,1982-03-31,-0.0009975722398364,-0.0009975722398364,0.1541949495336197,0.3401768329846208,1.2780195526040012
1,myopic,IS,1982-04-30,0.00375847229836,0.00375847229836,0.080211237077335,0.2593067173537158,1.2828229536892257
1,myopic,IS,1982-05-31,-0.0242445840918994,-0.0242445840918994,0.7733669231079732,1.0,1.2517214447134886
1,myopic,IS,1982-06-30,-0.022579327600846,-0.022579327600846,0.4778999432378988,0.9060638688452334,1.2234584161482984
1,myopic,IS,1982-07-31,0.0016532441369937,0.0016532441369937,0.8522419781360162,0.0516518786163754,1.2254810916016512
1,myopic,IS,1982-08-31,0.0620351034520848,0.0620351034520848,0.8861652062724473,0.9393823480981056,1.3015039378977333
1,myopic,IS,1982-09-30,0.0334352924491942,0.0334352924491942,1.5437477620331128,1.0,1.345020102685122
1,myopic,IS,1982-10-31,0.1268696171385617,0.1268696171385617,0.2255109338530621,1.0,1.5156622881564525
1,myopic,IS,1982-11-30,0.0925898861925295,0.0925898861925295,0.6191268126321416,1.0,1.6559972869231672
1,myopic,IS,1982-12-31,0.0126828650793955,0.0126828650793955,0.0616160557189049,1.0000000000000002,1.6770000770850588
1,myopic,IS,1983-01-31,0.0845718900201933,0.0845718900201933,0.1962259347990429,1.0,1.818827143168152
1,myopic,IS,1983-02-28,0.0510294873471559,0.0510294873471559,0.0795799736433568,1.0,1.911640959857115
1,myopic,IS,1983-03-31,0.0406789266009369,0.0406789266009369,0.0293275242628294,1.0,1.989404462150487
1,myopic,IS,1983-04-30,0.073657304705771,0.073657304705771,0.0909212657073317,1.0000000000000002,2.1359386328021257
1,myopic,IS,1983-05-31,0.0825734039771277,0.0825734039771277,0.1394269155836513,1.0000000000000002,2.3123103563988496
1,myopic,IS,1983-06-30,0.040898082141242,0.040898082141242,0.1195160820429219,1.0,2.406879415290894
1,myopic,IS,1983-07-31,-0.0337722358299584,-0.0337722358299584,0.1031622203680313,1.0,2.325593716063418
1,myopic,IS,1983-08-31,-0.0244995450397944,-0.0244995450397944,0.644107811978398,0.9809497776486568,2.268617728072459
1,myopic,IS,1983-09-30,0.0005221079917417,0.0005221079917417,0.950281481195977,0.0301898530258809,2.2698021915184925
1,myopic,IS,1983-10-31,-0.0443046701849762,-0.0443046701849762,0.9693040655750546,1.0,2.1692393540381296
1,myopic,IS,1983-11-30,1.9259955429086937e-05,1.9259955429086937e-05,1.0120170725282394,0.0120170725282393,2.1692811334914035
1,myopic,IS,1983-12-31,-0.0096998176506601,-0.0096998176506601,0.8508856756141571,0.8438057151263556,2.14823950206352
1,myopic,IS,1984-01-31,0.0008716735013616,0.0008716735013616,0.774117524885839,0.0681582944489645,2.150112065512047
1,myopic,IS,1984-02-29,-0.0051904698568403,-0.0051904698568403,0.1758798467968136,0.2148644966098106,2.138951973647178
1,myopic,IS,1984-03-31,-0.0006961386877418,-0.0006961386877418,0.16336679831546,0.0474012134493617,2.1374629664271008
1,myopic,IS,1984-04-30,0.0,0.0,0.0467376106205454,0.0,2.1374629664271008
1,myopic,IS,1984-05-31,0.0,0.0,0.0,0.0,2.1374629664271008
1,myopic,IS,1984-06-30,0.0,0.0,0.0,0.0,2.1374629664271008
1,myopic,IS,1984-07-31,0.0,0.0,0.0,0.0,2.1374629664271008
1,myopic,IS,1984-08-31,0.0009436778271125,0.0009436778271125,0.2324115317135392,0.2324115317135392,2.1394800428347924
1,myopic,IS,1984-09-30,0.004208523636902,0.004208523636902,1.233135205016958,1.0,2.1484840951657427
1,myopic,IS,1984-10-31,-0.013619244571588,-0.013619244571588,0.1621617736952538,1.0,2.119223364815513
1,myopic,IS,1984-11-30,-0.0088181358350525,-0.0088181358350525,0.1521473538986112,1.0000000000000002,2.1005357653197527
1,myopic,IS,1984-12-31,0.0110331991411373,0.0110331991411373,0.2777536626253022,1.0,2.1237113947216066
1,myopic,IS,1985-01-31,0.0863089025205027,0.0863089025205027,0.2350103615842537,0.9999999999999998,2.307006594470314
1,myopic,IS,1985-02-28,0.0253723316258549,0.0253723316258549,0.8496956497357999,0.9999999999999996,2.3655407308482492
