rank,strategy,IS_months,IS_ann_ret,IS_ann_vol,IS_sharpe,IS_cer_ann,IS_avg_turnover,IS_avg_risky_weight,IS_max_drawdown,OOS_months,OOS_ann_ret,OOS_ann_vol,OOS_sharpe,OOS_cer_ann,OOS_avg_turnover,OOS_avg_risky_weight,OOS_max_drawdown,IS_OOS_months,IS_OOS_ann_ret,IS_OOS_ann_vol,IS_OOS_sharpe,IS_OOS_cer_ann,IS_OOS_avg_turnover,IS_OOS_avg_risky_weight,IS_OOS_max_drawdown
1,myopic,240,0.1163500085729554,0.1047407410030033,1.1068266114783278,0.0885032823834377,0.4107460394684223,0.6875399357267981,-0.1272783538821856,239,0.0617623734889247,0.1154453377095619,0.5778690418564832,0.0333932216918356,0.4910016307273515,0.75985665523317,-0.2215770622163211,479,0.08877109619737511,0.11032594298783094,0.8282044631575349,0.060942904144200026,0.45079006099427626,0.7236228082988709,-0.2227574156219434
1,pipinn,240,0.1382163691907119,0.1059360519635582,1.2802480881108325,0.1075683102242909,0.7134275337799885,0.760953151222651,-0.1038430319263724,239,0.092026832024965,0.1272924504967638,0.757229988234014,0.0558812409082656,0.829537427749238,0.9374918611751596,-0.2546893889526017,479,0.11493063455640828,0.11709460434816778,0.9910618846014957,0.08177013334332678,0.771361280457756,0.849038227796032,-0.2546893889526016
1,pipinn_zero,240,0.13421425008679,0.1100456374676242,1.2041251507542392,0.1022336139914099,0.7691682809090472,0.8160467076865778,-0.1448087084106707,239,0.0833202525332681,0.1336151744722761,0.6674913786053736,0.0445544398879551,0.8386012868891889,0.9527345990783564,-0.2587369079351379,479,0.10852832133192791,0.12240653682319709,0.9059407472198773,0.07343466879158284,0.8038123068573851,0.8842479729112858,-0.2587369079351379
2,myopic,240,0.1144491751836538,0.1064582937470055,1.0745682389052231,0.0860632804597653,0.3892907269421549,0.7177573778218238,-0.1252021369424564,239,0.0740916590687137,0.1230361038863648,0.6438788513270701,0.0413756380932697,0.4537450684930352,0.8404911289469713,-0.2278461017668159,479,0.09412647462939261,0.1150208192341581,0.841980107728312,0.06377076962653297,0.4214506176115921,0.7789961388216364,-0.22784610176681586
2,pipinn,240,0.1409452146054333,0.1048952289497403,1.3150846411231656,0.1104385818778555,0.7008332648164693,0.7693361689720247,-0.1095082367044425,239,0.0869134562737672,0.1300479609849071,0.7077598715666971,0.0497615477733588,0.8760160297515022,0.9385171232886796,-0.2638748733718378,479,0.11365807869209799,0.11817930801864744,0.9734557945211434,0.08012646007383552,0.7882417842725713,0.8537500480569528,-0.26387487337183724
2,pipinn_zero,240,0.138302615794039,0.1089373676084293,1.2487364910711345,0.1063656910202411,0.7391801222273832,0.8172744187571247,-0.1242942178418529,239,0.0880758127307776,0.1342603789186969,0.6978490681154151,0.0486288569447549,0.8605571809415441,0.9574639674667464,-0.264281803546333,479,0.11295832629984126,0.12225512314874998,0.9399031070253129,0.0775421822569823,0.7997419531933214,0.8872228574661009,-0.26428180354633257
3,myopic,240,0.1169946208630743,0.1037528977169813,1.1219853991074455,0.0894975768918653,0.3997127029072733,0.6712573690545923,-0.1351703542717974,239,0.0610094678540658,0.1143924063206121,0.5757893937654402,0.0331518777271651,0.4828700393915635,0.7652471254071852,-0.2084744796546268,479,0.08870064790906707,0.1093210862376326,0.8341514674476226,0.061312594767649574,0.4412045680841947,0.7181541368380365,-0.21148560328821076
3,pipinn,240,0.1425356522948329,0.1047180148711895,1.330474683260343,0.1119100110709911,0.7024403164422947,0.7459561086531524,-0.1128598934500141,239,0.091226366778794,0.1252702450978169,0.7615021175251288,0.0561619711377116,0.9026157039097208,0.9405591799614988,-0.2202550394812669,479,0.11663988372595813,0.11548467330705443,1.0166281466921054,0.08406319497340128,0.802319058832096,0.8430545095773587,-0.2202550394812668
3,pipinn_zero,240,0.1410785029395982,0.1085868274288917,1.2749657276205513,0.1089667357152044,0.7566889812353497,0.7979539208001526,-0.1212226716233267,239,0.0854637309761783,0.131169490725403,0.6926420240954297,0.0478399133127058,0.8976974939650735,0.9644352799534242,-0.2491630151255074,479,0.1129818235526634,0.12045562052869256,0.952206874448386,0.07842477864098626,0.8270460470858799,0.8810208202524115,-0.2491630151255071
4,myopic,240,0.1118609316672651,0.1071944329717646,1.046300066636744,0.0834309262111,0.4170333450644437,0.7197141663110355,-0.1073360681438952,239,0.0602181710070617,0.1211386132406226,0.5442788654602246,0.0292467779333781,0.4632091231660264,0.8059365271217359,-0.2443254965707679,479,0.08578645000064178,0.11443999494721306,0.7785181710617711,0.056352334453827264,0.44007303392932523,0.7627353442520739,-0.2443254965707674
4,pipinn,240,0.1354625237608024,0.1134807068532847,1.1812227242761084,0.1018513126322125,0.7165114429300595,0.8030856471687076,-0.1252428420865782,239,0.086187979783159,0.1367668566461965,0.6745878608445217,0.0454983285671839,0.7609718833247114,0.9450682742547852,-0.2650668095170699,479,0.110603431823312,0.12565365083933372,0.900867116485194,0.07372514218433499,0.7386952534818796,0.8739287533765834,-0.26506680951707007
4,pipinn_zero,240,0.1277943551061722,0.1169090197894528,1.0916626319256366,0.0934559109688737,0.7809584293656531,0.846484738644971,-0.1573399737455975,239,0.0845733313421501,0.1404530983475107,0.6500012546182964,0.0419770080523701,0.7678701638995378,0.9654263477785742,-0.268344470790396,479,0.10601784452078378,0.12916532547536297,0.8477342667904612,0.06778866922371699,0.7744279587051071,0.9058313870435747,-0.2683444707903958
5,myopic,240,0.1116749690005138,0.1077278182579091,1.0398322520190713,0.0830056527977001,0.3996664384189483,0.7313736054685407,-0.1502845868206695,239,0.0651528110569317,0.1241068178789995,0.5718556369494586,0.0324649277778378,0.4580606860263246,0.8265123606938406,-0.2203391519694866,479,0.0882138582589691,0.11621895429667295,0.7876328731532227,0.05777075554302122,0.4288026078931924,0.7788436733158198,-0.22033915196948717
5,pipinn,240,0.1353551476444263,0.1048130787250386,1.2687612784827424,0.1055183220853395,0.7201055127258356,0.7864483311570876,-0.1178285098950157,239,0.0878555734867576,0.1307474246780366,0.7110468138122839,0.0502303170816323,0.8212869206782933,0.9378950721076582,-0.2465037520525739,479,0.11140120024038369,0.11848206730830693,0.9538736947553935,0.07792192662150653,0.7705905993659972,0.8620136152639486,-0.2465037520525738
5,pipinn_zero,240,0.1337477487209377,0.109622209258823,1.204730871175717,0.1020226877536256,0.7653641269970042,0.8358003317641017,-0.1596133641849114,239,0.0834679090910341,0.1391459404859643,0.6471883450562218,0.0416496490600939,0.8274678016010335,0.9581476822599448,-0.2581812453417693,479,0.10837522395952837,0.12524237482570694,0.8871062923532358,0.07188916764718994,0.7963511379163424,0.8968462957902112,-0.2581812453417691
