refit_index,decision_date,train_window_start,train_window_end,epoch_in_outer,lr,train_total,train_pde,train_bc,train_bc_dx,val_total,val_pde,val_bc,val_bc_dx,val_grad_l2_mean,val_grad_l2_std,val_grad_l2_cv,val_grad_dir_cos_mean,outer_iter,global_epoch
10,2009-01-31,1989-02-28,2009-01-31,1,0.0005,0.744478371030204,0.016920103053601164,0.06569817628306696,0.023525501715311085,0.11596553631401939,0.015263838582105003,0.007971808765696474,0.006994536691649882,0.10230688924521293,0.02751326346929835,0.26892874373713777,0.8475363836824032,1,1
10,2009-01-31,1989-02-28,2009-01-31,2,0.0005,0.12050346295569744,0.016021360594895322,0.0083651340720132,0.006943587213556703,0.20474421006901153,0.014808807118879629,0.01793267704995119,0.0035362108168733334,0.08789989650576913,0.02267246584726918,0.25793506580347403,0.8371480288399303,1,2
10,2009-01-31,1989-02-28,2009-01-31,3,0.0005,0.22137795431537796,0.015550966030646035,0.01955875448887461,0.0034131477986619435,0.2509325788312154,0.01418226443749318,0.02275290197498881,0.003073764881278043,0.07341829362181315,0.020389175601100117,0.2777124653484165,0.6533164065953485,1,3
10,2009-01-31,1989-02-28,2009-01-31,4,0.0005,0.264435935248754,0.01491446072186611,0.02406656921934057,0.0029519274444940583,0.1651930877718683,0.013523577374882863,0.014089538407727132,0.0035913754399047085,0.060204799412727494,0.01887909356395407,0.3135812000792377,0.3024496927411926,1,4
10,2009-01-31,1989-02-28,2009-01-31,5,0.0005,0.17345414502073636,0.014258368656039326,0.01487724134893451,0.003474454291783986,0.1003454200733635,0.012940791691636241,0.007008092042949155,0.0057745693174119025,0.05591158514798311,0.019726583951078926,0.3528174625357238,0.025131985515829656,1,5
10,2009-01-31,1989-02-28,2009-01-31,6,0.0005,0.1046851370572127,0.013686383687437832,0.007395496326183933,0.005681263369311847,0.12368956696473773,0.012453179955310364,0.0090620000332676,0.00687212889225046,0.06081324319174187,0.020457494481751624,0.3363986702838927,0.09449162949316806,1,6
10,2009-01-31,1989-02-28,2009-01-31,7,0.0005,0.12507090822948044,0.013222200045027709,0.009134388938374274,0.006834939600236667,0.13394514919331707,0.012109251781252134,0.01049387967600459,0.005632366884006347,0.06387730295379537,0.02161043298951416,0.33831160133410954,0.1846499833611351,1,7
10,2009-01-31,1989-02-28,2009-01-31,8,0.0005,0.13353524782512552,0.01290525043338783,0.010374304348906408,0.005628984634224536,0.08903057341165041,0.01191036935768125,0.0067315028901597795,0.0032683917174571235,0.06487589339008723,0.024065530780869843,0.3709471908960219,0.2908438619565572,1,8
10,2009-01-31,1989-02-28,2009-01-31,9,0.0005,0.08826762836250418,0.012733310370466933,0.006572932136129577,0.0032683322102471566,0.033774416030819286,0.01186720637375838,0.0017663913255058271,0.0014144321340008783,0.0681502055422423,0.02739138940070194,0.4019267261313967,0.5077433900749869,1,9
10,2009-01-31,1989-02-28,2009-01-31,10,0.0005,0.034837591689389526,0.012713952764269674,0.0017938597491782334,0.0013950138111125069,0.04310568956008787,0.011954113107889196,0.0026704024918310534,0.001482517177962711,0.07764851642333609,0.02721758672699359,0.35052294145688034,0.775274556895101,1,10
10,2009-01-31,1989-02-28,2009-01-31,11,0.0005,0.0484539877919051,0.012816238513127035,0.00313313854729672,0.0014354546019369563,0.079555875587847,0.011889054344637752,0.0060482617023532624,0.0023947347398922065,0.0845701201476931,0.025129846096719064,0.29714804419911317,0.8335322641795206,1,11
10,2009-01-31,1989-02-28,2009-01-31,12,0.0005,0.08706036947135927,0.012760062091794065,0.0067274238479343,0.002342022966740736,0.07740864848025904,0.011657805217039784,0.005831923757584499,0.002477201895791422,0.08504815037211919,0.02499479680420932,0.2938899482347033,0.8370778910575104,1,12
10,2009-01-31,1989-02-28,2009-01-31,13,0.0005,0.0845933028425556,0.01253540642178664,0.006476746144544146,0.0024301449917758355,0.04479596257885122,0.011262572853313339,0.0028149119149261906,0.0017947568587586586,0.08008103984365167,0.026431854322543746,0.33006382090048847,0.8027240188721765,1,13
10,2009-01-31,1989-02-28,2009-01-31,14,0.0005,0.04978555553592174,0.0121445244345345,0.003236062926547045,0.0017601339453055967,0.024695950840541374,0.010720568635797866,0.0010346888810653504,0.0012094977980300018,0.07195005599163357,0.02776516490377068,0.38589496749112023,0.6746069558746172,1,14
10,2009-01-31,1989-02-28,2009-01-31,15,0.0005,0.02665845554850676,0.011601570858794766,0.0011478527476133243,0.0011927857378595834,0.031214278257728857,0.010166892053666828,0.001776477143847148,0.0010942049218635162,0.06230424547695782,0.026132708081185053,0.41943702971915076,0.42400401001770055,1,15
10,2009-01-31,1989-02-28,2009-01-31,16,0.0005,0.03155268104251663,0.011033751650953858,0.0017262603023501868,0.0010854421226869678,0.03385158732758145,0.009786596282312843,0.00199693776144874,0.00136520447692707,0.05581746857384609,0.022870774641503864,0.4097422333208065,0.22033679470672193,1,16
10,2009-01-31,1989-02-28,2009-01-31,17,0.0005,0.03424281138419044,0.010636391993264466,0.0019562420851031385,0.001347999513298196,0.029158596551850553,0.009606041607155141,0.0015085373323641491,0.0014890605403513062,0.0515183202090576,0.021155296584363437,0.4106363733887365,0.10466429922998391,1,17
10,2009-01-31,1989-02-28,2009-01-31,18,0.0005,0.030099586078125656,0.010439614365396675,0.0015289557499202151,0.0014568047378422772,0.03158401616696764,0.009646121990201956,0.0018610071321333546,0.0011092742851440452,0.050292521501682966,0.02294184939691068,0.45616819868486347,0.14617346477559554,1,18
10,2009-01-31,1989-02-28,2009-01-31,19,0.0005,0.032746113250462075,0.0104702181638109,0.0019055103025809763,0.0010735973536138037,0.03142694108588975,0.00968629249406805,0.001981913876500825,0.0006405032756044818,0.051271171542915966,0.024925854316399314,0.48615729034742483,0.2626283912630243,1,19
10,2009-01-31,1989-02-28,2009-01-31,20,0.0005,0.032463244456067394,0.010508739157962747,0.0020113462924062457,0.0006136807913473968,0.018890656640241026,0.00965072928605289,0.000851171527926478,0.00024273735830778622,0.052348259283429274,0.027509267583331734,0.5255049056910059,0.3646071793636997,1,20
10,2009-01-31,1989-02-28,2009-01-31,21,0.0005,0.019749264386131136,0.010476942021876337,0.0008590916465189774,0.00022713529968834228,0.012662571543008094,0.009522821849226667,0.00022296546363233114,0.0003033650191527052,0.056296233715297406,0.026790596180899833,0.4758861106144282,0.5075766722780971,1,21
10,2009-01-31,1989-02-28,2009-01-31,22,0.0005,0.013522888574431709,0.010355592439578443,0.00022753501972172987,0.00029731531254532234,0.01611855494773438,0.009453776887686005,0.000520453421412281,0.0004867479486418552,0.05860614712689338,0.026131289260058792,0.44587965759973874,0.5705086006289568,1,22
10,2009-01-31,1989-02-28,2009-01-31,23,0.0005,0.017172926486877543,0.010283977714460006,0.0005434573346516252,0.000484791808633761,0.013446622559313993,0.009427874263667497,0.00028136781070921545,0.00040169006285144693,0.05786296817320214,0.025941173671279263,0.448320817993787,0.6198204275037602,1,23
10,2009-01-31,1989-02-28,2009-01-31,24,0.0005,0.01451599050907212,0.010248332915242627,0.0003062836938785261,0.00040160688501474453,0.013246117088210815,0.009303617865007833,0.00034467957904997515,0.00016523447756774343,0.0522106708740019,0.025997602719778003,0.49793656711633716,0.5959296439021692,1,24
10,2009-01-31,1989-02-28,2009-01-31,25,0.0005,0.013869039181046896,0.010104688445430042,0.0003270965102108539,0.00016446187783610494,0.012413325439651554,0.009017524716642859,0.00029063354239862053,0.00016315509967416373,0.04605286965246532,0.02529572501251575,0.549275748810712,0.3180026973282913,1,25
10,2009-01-31,1989-02-28,2009-01-31,26,0.0005,0.012885298154123799,0.009801465900438757,0.00026140831872910764,0.00015658302213132186,0.013901838363502124,0.008676848813562971,0.00041166497624533924,0.0003694465958285866,0.04337157252961091,0.022536941137745445,0.5196247058539134,0.16428753154965173,1,26
10,2009-01-31,1989-02-28,2009-01-31,27,0.0005,0.014924434029841675,0.00945000345528595,0.00044068261165622043,0.00035586815266450687,0.013666416068552857,0.008546059439199385,0.0004111616659773856,0.00033624665652653887,0.04238415006588645,0.022180221581270317,0.5233140460166588,0.17481703239647658,1,27
10,2009-01-31,1989-02-28,2009-01-31,28,0.0005,0.014788646480490336,0.009311472373815756,0.00045058255522506215,0.0003237828514746527,0.009999946976185187,0.008588209384137674,0.00010242267118294236,0.00012917029340603003,0.042171667765123516,0.023832500643733545,0.5651306040666646,0.29266861846214226,1,28
10,2009-01-31,1989-02-28,2009-01-31,29,0.0005,0.010660953205452385,0.009347513088753893,9.380803933123978e-05,0.0001251199077953649,0.011705921618423196,0.008618437554188396,0.00025954619073103094,0.0001640073856414966,0.045321051905461436,0.02271074730780391,0.5011081131583142,0.5466769784422939,1,29
10,2009-01-31,1989-02-28,2009-01-31,30,0.0005,0.01225075008325438,0.009374386068827317,0.00023702532047150987,0.00016870360323732172,0.010958004012141219,0.008471365212116146,0.0001779295457306233,0.00023578111423961374,0.045861946812958444,0.022139561827253493,0.48274360080707013,0.564114160616705,1,30
10,2009-01-31,1989-02-28,2009-01-31,31,0.0005,0.011877783402811131,0.009223855206794142,0.00019314607561267774,0.00024082247996340395,0.010945278719497641,0.008216054319543533,0.00021937638383808336,0.00017848685385775845,0.04226585747134398,0.02177286688813121,0.5151407702482393,0.4793543650556092,1,31
10,2009-01-31,1989-02-28,2009-01-31,32,0.0005,0.01209694854258082,0.008958520785628511,0.0002600499823248581,0.00017930931123457576,0.00893398040250129,0.008036107099034498,5.890794908673478e-05,0.0001029312708664814,0.037473632385256264,0.02156074204199908,0.5753576606874208,0.3294422906625675,1,32
10,2009-01-31,1989-02-28,2009-01-31,33,0.0005,0.00979698891406463,0.008764263272579233,7.274085000526282e-05,0.00010177238047758969,0.011265356279716934,0.007893059287273983,0.0002848901109895153,0.00017446529418259937,0.034962799694264635,0.019536867092472616,0.5587901056129488,0.2345416593798536,1,33
10,2009-01-31,1989-02-28,2009-01-31,34,0.0005,0.011737806568941868,0.008607168885831382,0.00026125808313884607,0.00017268561724067484,0.010038670575434372,0.007690938119269495,0.0001797030700424275,0.00018356725191353364,0.03278869249509463,0.019087056626266793,0.5821231220793327,0.13596110792821342,1,34
10,2009-01-31,1989-02-28,2009-01-31,35,0.0005,0.01074356364163946,0.008396698584072595,0.00018102712014979116,0.0001788646186896509,0.00979669993441952,0.0075284414382338245,0.000186905033986925,0.00013306938543881512,0.032803658891046056,0.019073825764131455,0.5814541983267472,0.2044654614994307,1,35
10,2009-01-31,1989-02-28,2009-01-31,36,0.0005,0.010932824065744544,0.00823093393840001,0.00023159427984519504,0.00012864910963086146,0.008536812845462927,0.007502071653158122,7.436289951712148e-05,9.703739904453017e-05,0.03326521193197654,0.0191460302528939,0.5755571230536022,0.36368484484360414,1,36
10,2009-01-31,1989-02-28,2009-01-31,37,0.0005,0.009448855110183013,0.008199852912365585,9.55372164807942e-05,9.787667766982849e-05,0.010897021372992376,0.007488354258009627,0.00028929439523276335,0.00017190772088503884,0.033780581319214624,0.017561219815678653,0.5198613703497263,0.4161108865276875,1,37
10,2009-01-31,1989-02-28,2009-01-31,38,0.0005,0.011439145152466352,0.00817784132819556,0.0002728448403283472,0.00017761847366243988,0.009378428233878832,0.00732056021719996,0.0001677958269514063,0.0001266365823882702,0.0317053866718688,0.01756656035648866,0.5540560026671719,0.3723590670473271,1,38
10,2009-01-31,1989-02-28,2009-01-31,39,0.0005,0.0099937055931662,0.008002000624153079,0.0001599654756385433,0.00013068340420923,0.009707477152528586,0.007022538386956998,0.00023340814408726436,0.00011695244156631456,0.029814501373150552,0.017233870012158075,0.5780364802492238,0.26769811460729603,1,39
10,2009-01-31,1989-02-28,2009-01-31,40,0.0005,0.01074484716124507,0.0076952399400746895,0.00027045293696652424,0.00011502595050171244,0.009890702166539523,0.006842778006575137,0.0002572536408229825,0.00015846258391152032,0.028351849485152097,0.01644801486823986,0.5801390239714233,0.19768490697745894,1,40
10,2009-01-31,1989-02-28,2009-01-31,41,0.0005,0.010921590127129288,0.007504930325746614,0.0002954062173932412,0.00015419920915008722,0.0085791030454908,0.006783641823103715,0.00014208310476808986,0.0001248767249020622,0.025609554074677913,0.016246720360885078,0.6344007271313131,0.0483045038341931,1,41
10,2009-01-31,1989-02-28,2009-01-31,42,0.0005,0.00918291994939523,0.007435098983170672,0.00013828307505239776,0.00012166340523352717,0.008755882653401883,0.0067260285501711675,0.00017887924836221557,8.035387320285298e-05,0.025005073415294184,0.016254332286087466,0.6500413482531215,0.05762583614234676,1,42
10,2009-01-31,1989-02-28,2009-01-31,43,0.0005,0.00926352265830607,0.007371372866113623,0.00016537401136771887,7.946989283842001e-05,0.007286128628669843,0.006610150733823387,4.862507916464121e-05,6.324236773334803e-05,0.026502140110968322,0.016460519407035284,0.6211014928232664,0.2448177967620644,1,43
10,2009-01-31,1989-02-28,2009-01-31,44,0.0005,0.008026394927873538,0.007252395524686666,5.8438329728246326e-05,6.320536863480274e-05,0.007812775921767715,0.006526202839367711,0.00010112989097870618,9.175805753764786e-05,0.02713756911034455,0.01613079544544594,0.5944082458324835,0.2961283482714337,1,44
10,2009-01-31,1989-02-28,2009-01-31,45,0.0005,0.008582097542422132,0.007162517846074825,0.00011417120782675165,9.262253935993006e-05,0.007748284669338814,0.006452935132018027,0.00010987686906890246,6.552694887725416e-05,0.024845842512048768,0.01593581462616917,0.6413875471139163,0.16893682226223647,1,45
10,2009-01-31,1989-02-28,2009-01-31,46,0.0005,0.008334008254970458,0.007079165859154772,0.00010551800603704195,6.655411181508878e-05,0.006741723817965226,0.0062679575861910655,3.466022282715646e-05,4.2388001167531906e-05,0.02435416511925651,0.016142407710832234,0.6628191510145219,0.15531795344145594,1,46
10,2009-01-31,1989-02-28,2009-01-31,47,0.0005,0.007330227161187008,0.0068844940386025765,3.212313431805347e-05,4.1500593134632256e-05,0.007527772126262864,0.006075390983566116,0.00011343944266205245,0.00010599557202540806,0.026428149019042814,0.01588937723504811,0.6012292659001486,0.30793881403797974,1,47
10,2009-01-31,1989-02-28,2009-01-31,48,0.0005,0.008240048834288657,0.006683207103677513,0.00012464533449534152,0.00010346279521924307,0.006654554308911667,0.006002077961677908,4.638231592526221e-05,6.288439599371237e-05,0.025034626535235114,0.0160128459882103,0.6396278900364281,0.24136528000268756,1,48
10,2009-01-31,1989-02-28,2009-01-31,49,0.0005,0.007240557871711514,0.006600934001571671,4.579795734651082e-05,6.05480988915784e-05,0.006869447356090479,0.005952401512919035,8.055158519403049e-05,3.7176663743713317e-05,0.024182594824057862,0.016103873578673517,0.6659282442562559,0.1828185901375138,1,49
10,2009-01-31,1989-02-28,2009-01-31,50,0.0005,0.007409884285459469,0.0065439578887802295,7.574124712068433e-05,3.617130849079853e-05,0.006484618862214614,0.005844237551679526,4.679324754331805e-05,5.7482945033969126e-05,0.026364478051795835,0.015855319548651346,0.601389449702453,0.34151231377871943,1,50
10,2009-01-31,1989-02-28,2009-01-31,1,0.0005,0.006894203320677414,0.006197020210624344,5.284568528477615e-05,5.624208573510313e-05,0.006363581398378477,0.005746747960111325,4.472578470451769e-05,5.652519707399186e-05,0.02662398332858417,0.015887055539892753,0.5967196849209386,0.3494739017966126,2,51
10,2009-01-31,1989-02-28,2009-01-31,2,0.0005,0.006766469719136746,0.006093800291121472,5.0665502382693114e-05,5.53381347294474e-05,0.006382986669429401,0.005649224349694179,6.400229498635953e-05,3.12464566238754e-05,0.02532924015246176,0.016368416241771874,0.6462260808860048,0.24562827793153455,2,52
10,2009-01-31,1989-02-28,2009-01-31,3,0.0005,0.006698527316093497,0.005988697988725829,6.184625186107689e-05,3.0455602918966335e-05,0.005845083465148817,0.005496466317600653,2.3392422017559295e-05,3.8230975790857294e-05,0.027273595821013793,0.016755841368334815,0.6143612622235712,0.3906683268299547,2,53
10,2009-01-31,1989-02-28,2009-01-31,4,0.0005,0.006178009079673063,0.005832517250497446,2.3470577232678293e-05,3.6928685616277886e-05,0.006199557186718228,0.005369149129991759,6.387592784327414e-05,6.388292609790933e-05,0.02936399448179494,0.01696415492787389,0.5777195728827608,0.4951638950197257,2,54
10,2009-01-31,1989-02-28,2009-01-31,5,0.0005,0.006565109720068618,0.005701952232078955,6.762919489448533e-05,6.228851301493663e-05,0.005665310233239592,0.005319071698503907,2.6522216025240872e-05,2.7005458161092266e-05,0.027942824324819357,0.0173365829363556,0.6204305661588527,0.3956827888997356,2,55
10,2009-01-31,1989-02-28,2009-01-31,6,0.0005,0.005972489886440685,0.00564472569891923,2.4977913123116563e-05,2.5995018763429552e-05,0.005644987814243659,0.005258994153630934,3.1272995863778155e-05,2.4421233991647878e-05,0.027867064589438807,0.01739807071063933,0.6243237435531401,0.3207149449985348,2,56
10,2009-01-31,1989-02-28,2009-01-31,7,0.0005,0.005943506714769324,0.005579259542345496,2.9246772439670743e-05,2.3926482675706537e-05,0.005643750397888704,0.005156764718151841,3.7099545122229886e-05,3.866340950485466e-05,0.029846105683888693,0.017505763660324053,0.5865342453451018,0.43775751061539564,2,57
10,2009-01-31,1989-02-28,2009-01-31,8,0.0005,0.006019575753783105,0.005474235146930143,4.31975664159242e-05,3.778831423124015e-05,0.005235894148820427,0.0050643118508091325,1.0211148760883048e-05,2.315693680082129e-05,0.029973438917948618,0.018196805212317677,0.6070976591986399,0.4147729712847321,2,58
10,2009-01-31,1989-02-28,2009-01-31,9,0.0005,0.005561158538287824,0.005376129562420362,1.174888969494899e-05,2.2513359639324e-05,0.00542177343587778,0.004964158287014346,3.942372914631328e-05,2.1125952466767036e-05,0.030495173128162727,0.018923758310946587,0.6205492787617902,0.4331602877967042,2,59
10,2009-01-31,1989-02-28,2009-01-31,10,0.0005,0.005690651052860355,0.005270223243626038,3.586927092079446e-05,2.0578366675457276e-05,0.005152347822411776,0.004844660456355969,2.155014373122655e-05,3.0728642914513715e-05,0.0329641633000381,0.019464434594335982,0.5904725633925287,0.5745853474963747,2,60
10,2009-01-31,1989-02-28,2009-01-31,11,0.0005,0.0054744728462083085,0.005148083337000468,2.379369199650455e-05,2.9484196414265058e-05,0.005029215193207413,0.004768087260706329,1.8491873822979818e-05,2.540306475709525e-05,0.033609837970975526,0.019937248650688258,0.5931967918056817,0.5742537217130641,2,61
10,2009-01-31,1989-02-28,2009-01-31,12,0.0005,0.0053549390375642585,0.005066930452703774,2.1513621092157497e-05,2.429079131296999e-05,0.005057900679706527,0.004724414077041218,2.8081646352989757e-05,1.755671304513729e-05,0.03271202645432805,0.020277875957860802,0.6198905276101401,0.40303691316191037,2,62
10,2009-01-31,1989-02-28,2009-01-31,13,0.0005,0.00531943140501825,0.005016663833974873,2.5054736709280048e-05,1.740673465019222e-05,0.004806447672146966,0.0046489577252395425,1.001287968500874e-05,1.9120383352445233e-05,0.03383071792280816,0.020604061064051483,0.609034088547274,0.43585034261027406,2,63
10,2009-01-31,1989-02-28,2009-01-31,14,0.0005,0.005108996762380906,0.004937458237272538,1.1487936654642572e-05,1.8886386187313846e-05,0.004800870945496441,0.004557789554538203,1.8316987402389953e-05,1.997050564477938e-05,0.035422100677549945,0.021243381213891712,0.5997210839512519,0.5089834920841964,2,64
10,2009-01-31,1989-02-28,2009-01-31,15,0.0005,0.005135515256608647,0.004842745151966813,2.3461552398659307e-05,1.9384860218413377e-05,0.004689077109437978,0.00447620789062345,1.6904706588862262e-05,1.460738430863491e-05,0.035987887444969495,0.02212205958309398,0.6147084627352254,0.5138853356946251,2,65
10,2009-01-31,1989-02-28,2009-01-31,16,0.0005,0.004950686311938998,0.0047555884580137925,1.523163594284483e-05,1.4260498165585878e-05,0.0045835536353076144,0.004385383826056432,1.4530054555320742e-05,1.7623087899324735e-05,0.03772130359746722,0.022780930084539176,0.6039274178780336,0.6020231116172288,2,66
10,2009-01-31,1989-02-28,2009-01-31,17,0.0005,0.004852300760392792,0.004660983998259297,1.406160315327245e-05,1.690024353358989e-05,0.004553093726132071,0.004306803998429037,1.859846564637797e-05,2.0101690413085026e-05,0.03930514977832043,0.02331776332960948,0.5932495580826235,0.6414164035688573,2,67
10,2009-01-31,1989-02-28,2009-01-31,18,0.0005,0.004861680866163654,0.004579123275248095,2.2526823636497743e-05,1.909645151686028e-05,0.0043820472607904995,0.004260311451461998,8.605228730029959e-06,1.1894507342733907e-05,0.03895993186036982,0.0238894640807586,0.6131803195446224,0.533511370754488,2,68
10,2009-01-31,1989-02-28,2009-01-31,19,0.0005,0.004644445013073475,0.00452683112316866,8.287855941806855e-06,1.15784434955819e-05,0.004365268325350849,0.004204038683741296,1.2128674487426909e-05,1.331429891176143e-05,0.03947637818283743,0.02431646792828732,0.61597513327309,0.4689215764707104,2,69
10,2009-01-31,1989-02-28,2009-01-31,20,0.0005,0.004621104310641745,0.004465814115312549,1.154105855906966e-05,1.3293203246166648e-05,0.004282792444902607,0.00412543355290476,1.1485984546007712e-05,1.4166348845923217e-05,0.041261385485204805,0.024957250065964543,0.6048572816357861,0.5553153579876174,2,70
10,2009-01-31,1989-02-28,2009-01-31,21,0.0005,0.004578878972805212,0.004384155457200766,1.5361006271265385e-05,1.370448429726402e-05,0.004137829131767879,0.004052835108846825,5.317547822425682e-06,1.0606181565599012e-05,0.04231745408758142,0.025778654582267416,0.6091730830437505,0.5996177156147464,2,71
10,2009-01-31,1989-02-28,2009-01-31,22,0.0005,0.004393711907747571,0.004306875543206473,5.633131539931962e-06,1.0168349713926371e-05,0.00415760541076424,0.003981651190125416,1.3713645720248903e-05,1.2939254478778337e-05,0.04363625395604464,0.02642213870986881,0.6055088535091788,0.6418865840690507,2,72
10,2009-01-31,1989-02-28,2009-01-31,23,0.0005,0.0043943086644142705,0.004231401610027357,1.2568009447203825e-05,1.2408986638291758e-05,0.00405659709220275,0.003913740665056831,9.922898459135697e-06,1.4542480851520664e-05,0.04516989199596116,0.026996614898957078,0.5976683385406949,0.6706054332647946,2,73
10,2009-01-31,1989-02-28,2009-01-31,24,0.0005,0.004322552112496182,0.004160365958343761,1.2090452234545018e-05,1.3760543935656852e-05,0.003931928137758109,0.0038673046032799852,3.614776313930346e-06,9.491923779606857e-06,0.04533486357346622,0.027607234474014277,0.6089625442528035,0.6069254404330618,2,74
10,2009-01-31,1989-02-28,2009-01-31,25,0.0005,0.004179278901038568,0.004108915763932839,4.304356191133522e-06,9.106525064797807e-06,0.003945962552466424,0.0038189411908827317,9.760762709479648e-06,9.80457816296514e-06,0.04573497582029405,0.028146480953230867,0.6154257181287427,0.5352936507373217,2,75
10,2009-01-31,1989-02-28,2009-01-31,26,0.0005,0.004178286067038343,0.00405571344961332,9.335020569063393e-06,9.740803911463038e-06,0.0038442757368496983,0.0037519979696930637,5.976274576368246e-06,1.0838340464317461e-05,0.047365725457753236,0.028741350824654465,0.6067963688953372,0.6005937291459424,2,76
10,2009-01-31,1989-02-28,2009-01-31,27,0.0005,0.004099835243510648,0.003985801646163419,8.267311817000867e-06,1.045349305907317e-05,0.0037527403465635687,0.0036883660413974412,3.596338809004233e-06,9.470305692028346e-06,0.04860332452920574,0.029441874316872195,0.6057584331175152,0.6473923920611894,2,77
10,2009-01-31,1989-02-28,2009-01-31,28,0.0005,0.003987035005189166,0.003918143207011045,4.18372564629982e-06,9.018180571707547e-06,0.0037599721593363127,0.0036292481585148612,9.905088687292621e-06,1.0557704649508445e-05,0.04973999623819876,0.03005016620382953,0.604144910984272,0.677058702631497,2,78
10,2009-01-31,1989-02-28,2009-01-31,29,0.0005,0.003976626538014283,0.003854931894205118,9.142378935490952e-06,1.009028481808524e-05,0.003668911439616729,0.0035724423021543357,6.15776297745795e-06,1.1630502562604493e-05,0.051005212694336347,0.030601509637841896,0.5999682664056736,0.6852124698897697,2,79
10,2009-01-31,1989-02-28,2009-01-31,30,0.0005,0.003903056550478085,0.003795062366199058,7.492660960457294e-06,1.1022524891484605e-05,0.0035844155956051924,0.0035299472112149664,2.9505655303678413e-06,8.320909695515863e-06,0.05131954157401603,0.03119788500971025,0.6079143235681582,0.6335601370739553,2,80
10,2009-01-31,1989-02-28,2009-01-31,31,0.0005,0.0038085253279890115,0.0037480641663233125,3.6440019220717354e-06,8.007047481660456e-06,0.003574035798336402,0.003485184814075895,6.472412271351035e-06,8.042287182332187e-06,0.051841573872120274,0.03175880706854387,0.6126126983388258,0.5874468949808247,2,81
10,2009-01-31,1989-02-28,2009-01-31,32,0.0005,0.003787416448845826,0.003699007025414636,6.454099200422831e-06,7.956143808987213e-06,0.0034965963890006358,0.003426957751683303,4.255189943523203e-06,9.02891262736694e-06,0.053314024250038575,0.03230887718384128,0.6060108392175454,0.6369262219613381,2,82
10,2009-01-31,1989-02-28,2009-01-31,33,0.0005,0.0037236572825952046,0.003638078012287497,5.9530528199221596e-06,8.682914036162062e-06,0.0034315781758611336,0.0033724861263987067,3.4218653199833285e-06,8.291132087531233e-06,0.054459896173634725,0.032922791185170976,0.6045327459984564,0.6757342500945142,2,83
10,2009-01-31,1989-02-28,2009-01-31,34,0.0005,0.0036411531398066956,0.003580002995773927,3.7421662558446172e-06,7.909493824774206e-06,0.0034101003041370616,0.0033216986851578633,6.205162084257534e-06,8.78333271220763e-06,0.05550819477680663,0.03347578134511985,0.6030781738920664,0.6968092868832659,2,84
10,2009-01-31,1989-02-28,2009-01-31,35,0.0005,0.003609376823906763,0.003525701398534102,5.849339286922755e-06,8.394010834477988e-06,0.003344786726512699,0.0032739333443520535,4.356280480972302e-06,9.096859116974326e-06,0.056519930855928116,0.03399271016398633,0.6014287181137319,0.6879263728476697,2,85
10,2009-01-31,1989-02-28,2009-01-31,36,0.0005,0.0035571965027383096,0.003475050147116643,5.627348960355688e-06,8.624288672703289e-06,0.0032859229870753465,0.0032358118363996855,2.9406849895268894e-06,6.901433593464017e-06,0.05686451219826617,0.03455867561152475,0.607737122289802,0.6415550785357884,2,86
10,2009-01-31,1989-02-28,2009-01-31,37,0.0005,0.003486250208677016,0.003432830319775251,3.3294500493587862e-06,6.708462802725846e-06,0.003247495579203496,0.003192628376824779,3.4518567677412363e-06,6.7828782337681945e-06,0.057627678236683605,0.03508394727482142,0.6088037508976816,0.6228515758808091,2,87
10,2009-01-31,1989-02-28,2009-01-31,38,0.0005,0.0034438907018460867,0.0033862234296786263,3.7662917696666064e-06,6.668118156931435e-06,0.0031970017485585425,0.0031418904892491608,3.25473796876513e-06,7.521293207243427e-06,0.05896402191241851,0.03559003134967074,0.603588927480982,0.6645312081452214,2,88
10,2009-01-31,1989-02-28,2009-01-31,39,0.0005,0.0034013938373005444,0.0033330152989177212,4.68437835746149e-06,7.1782516027361275e-06,0.0031580420960607408,0.003096048378468437,4.038431734850433e-06,7.203133414599844e-06,0.059956773458211654,0.03613476722243478,0.6026803067536561,0.6923771376655179,2,89
10,2009-01-31,1989-02-28,2009-01-31,40,0.0005,0.003344319172224079,0.0032838073298508377,3.9809619628700404e-06,6.900740914846866e-06,0.0031070122116961846,0.00305196947961712,3.2965100671734684e-06,7.359210469109882e-06,0.06095861829753433,0.036637030085831496,0.6010147622768319,0.7010329123986395,2,90
10,2009-01-31,1989-02-28,2009-01-31,41,0.0005,0.003293094868111973,0.0032368419816182826,3.524970672226214e-06,7.001059923809326e-06,0.0030615736878657853,0.0030124464788008135,2.7938430173140907e-06,7.06292629727701e-06,0.06173115968805761,0.037131363320021475,0.6015011366407831,0.6799401697743015,2,91
