oos_protocol,train_window_mode,refit_every,rebalance_every,rolling_train_months,fixed_train_end,decision_date,return_date,strategy,strategy_display,strategy_legacy_label,comparison_role,benchmark_primary,benchmark_note,benchmark_source,cross_mode,gross_return,net_return,turnover,risky_weight,weights_json,mu_l1,factor_var_json,factor_mu_json,mean_model_kind,hedge_signal_l2,costate_jxy_l2,costate_jx,costate_neg_jxx,costate_closed_form,train_objective,regime_probability,training_log_csv,training_window_start,training_window_end,refit_index
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,0.032037365922551304,0.032037365922551304,0.1607521388884319,0.1607521388884319,"{""asset_1"": 0.0, ""asset_2"": 0.02623299232972518, ""asset_3"": 0.015853412438216686, ""asset_4"": 0.04576285877393761, ""asset_5"": 0.040532529402401575, ""asset_6"": 0.0, ""asset_7"": 0.0, ""asset_8"": 0.0, ""asset_9"": 0.002136110765434988, ""asset_10"": 0.001627008235449952, ""asset_11"": 0.0, ""asset_12"": 0.0, ""asset_13"": 0.0, ""asset_14"": 0.0, ""asset_15"": 0.0, ""asset_16"": 0.0006662130436974396, ""asset_17"": 0.0, ""asset_18"": 0.0, ""asset_19"": 0.0, ""asset_20"": 0.0, ""asset_21"": 0.021485687232271046, ""asset_22"": 0.0, ""asset_23"": 0.0, ""asset_24"": 0.0, ""asset_25"": 0.006455326667297457, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,0.08164377448282291,0.08164377448282291,0.40134888884181225,0.40134888884181225,"{""asset_1"": 9.389988389708511e-05, ""asset_2"": 0.0005041973731463165, ""asset_3"": 0.0004988111595763259, ""asset_4"": 0.22006365727352695, ""asset_5"": 0.1720308706297584, ""asset_6"": 0.00012124900859836898, ""asset_7"": 0.0002222048545310474, ""asset_8"": 0.00019042371156929467, ""asset_9"": 0.00042149194084670043, ""asset_10"": 0.00035093540219132774, ""asset_11"": 0.00014902472267907364, ""asset_12"": 0.0001855464658434859, ""asset_13"": 0.0001385778007885657, ""asset_14"": 0.00018346087905471507, ""asset_15"": 0.00020622730863906118, ""asset_16"": 0.0002910714844890781, ""asset_17"": 0.0001997700159665855, ""asset_18"": 0.00014486355517104104, ""asset_19"": 0.00016711422568300958, ""asset_20"": 0.00019504504411610994, ""asset_21"": 0.0030153764495448373, ""asset_22"": 0.00033161065598825236, ""asset_23"": 0.00030886496974751574, ""asset_24"": 0.000251487030102709, ""asset_25"": 0.0007381738350794651, ""UST2Y"": 0.0001842727068730004, ""UST5Y"": 9.303728197376577e-05, ""UST10Y"": 6.76231724301799e-05}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0002877327569057315,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,0.08075714056018546,0.08075714056018546,0.3973757055384343,0.3973757055384343,"{""asset_1"": 9.381391985784248e-05, ""asset_2"": 0.0005025500019596191, ""asset_3"": 0.0004997181188507602, ""asset_4"": 0.2178931628679956, ""asset_5"": 0.16974866522731757, ""asset_6"": 0.00012114715046608033, ""asset_7"": 0.00022208969500498983, ""asset_8"": 0.00019107587603657092, ""asset_9"": 0.00042626857446601094, ""asset_10"": 0.00035273635527869007, ""asset_11"": 0.0001492145690222096, ""asset_12"": 0.00018609656973238496, ""asset_13"": 0.00013907727455960586, ""asset_14"": 0.00018478151318455547, ""asset_15"": 0.00020775157502708728, ""asset_16"": 0.00029299257062233823, ""asset_17"": 0.00020034308801538663, ""asset_18"": 0.00014564611200212433, ""asset_19"": 0.00016878341202213696, ""asset_20"": 0.00019682264250417644, ""asset_21"": 0.003443766128092308, ""asset_22"": 0.0003347393351349015, ""asset_23"": 0.000312251639201917, ""asset_24"": 0.000254042502732305, ""asset_25"": 0.0007588976004906446, ""UST2Y"": 0.00018668723699053733, ""UST5Y"": 9.41565851048742e-05, ""UST10Y"": 6.842739676106653e-05}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,0.08513466423949426,0.08513466423949426,0.9999999999999999,0.9999999999999999,"{""asset_1"": 0.03571428571428571, ""asset_2"": 0.03571428571428571, ""asset_3"": 0.03571428571428571, ""asset_4"": 0.03571428571428571, ""asset_5"": 0.03571428571428571, ""asset_6"": 0.03571428571428571, ""asset_7"": 0.03571428571428571, ""asset_8"": 0.03571428571428571, ""asset_9"": 0.03571428571428571, ""asset_10"": 0.03571428571428571, ""asset_11"": 0.03571428571428571, ""asset_12"": 0.03571428571428571, ""asset_13"": 0.03571428571428571, ""asset_14"": 0.03571428571428571, ""asset_15"": 0.03571428571428571, ""asset_16"": 0.03571428571428571, ""asset_17"": 0.03571428571428571, ""asset_18"": 0.03571428571428571, ""asset_19"": 0.03571428571428571, ""asset_20"": 0.03571428571428571, ""asset_21"": 0.03571428571428571, ""asset_22"": 0.03571428571428571, ""asset_23"": 0.03571428571428571, ""asset_24"": 0.03571428571428571, ""asset_25"": 0.03571428571428571, ""UST2Y"": 0.03571428571428571, ""UST5Y"": 0.03571428571428571, ""UST10Y"": 0.03571428571428571}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,0.00034939248521136893,0.00034939248521136893,0.06976369555236096,0.06976369555236096,"{""asset_1"": 0.0, ""asset_2"": 0.0, ""asset_3"": 0.0, ""asset_4"": 0.0, ""asset_5"": 0.0, ""asset_6"": 0.0, ""asset_7"": 0.0, ""asset_8"": 0.0, ""asset_9"": 0.0, ""asset_10"": 0.0, ""asset_11"": 0.0, ""asset_12"": 0.0, ""asset_13"": 0.0, ""asset_14"": 0.0, ""asset_15"": 0.0, ""asset_16"": 0.0, ""asset_17"": 0.0, ""asset_18"": 0.0, ""asset_19"": 0.0, ""asset_20"": 0.0, ""asset_21"": 0.0, ""asset_22"": 0.0, ""asset_23"": 0.0, ""asset_24"": 0.0, ""asset_25"": 0.0, ""UST2Y"": 0.029163267755811018, ""UST5Y"": 0.023082103160161092, ""UST10Y"": 0.017518324636388857}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-01-31,2000-02-29,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,0.044932551929476434,0.044932551929476434,1.0000000000000002,1.0000000000000002,"{""asset_1"": 0.016522447143064237, ""asset_2"": 0.01880949282796205, ""asset_3"": 0.020770316028744025, ""asset_4"": 0.023127293820381107, ""asset_5"": 0.02294537223292084, ""asset_6"": 0.015739726932333383, ""asset_7"": 0.01843799107471521, ""asset_8"": 0.021270634559390638, ""asset_9"": 0.023342487133999924, ""asset_10"": 0.02104139477431349, ""asset_11"": 0.016897116650364467, ""asset_12"": 0.019293378354562497, ""asset_13"": 0.02209932020722106, ""asset_14"": 0.023426165952604147, ""asset_15"": 0.02244020685421445, ""asset_16"": 0.018649241710175003, ""asset_17"": 0.020100659044856264, ""asset_18"": 0.021336917331608144, ""asset_19"": 0.02452496021280283, ""asset_20"": 0.023171802652208848, ""asset_21"": 0.023426087704120385, ""asset_22"": 0.02261151606174265, ""asset_23"": 0.02492730517755991, ""asset_24"": 0.026801665780790893, ""asset_25"": 0.026035290908255362, ""UST2Y"": 0.24803485098803638, ""UST5Y"": 0.1269292338061554, ""UST10Y"": 0.08728712407489653}",0.08401534552431236,"{""asset_1"": 0.007949901044070803, ""asset_2"": 0.005898743368051678, ""asset_3"": 0.0033771876311953918, ""asset_4"": 0.002771229027956762, ""asset_5"": 0.0023901767434500033, ""asset_6"": 0.006940603293300593, ""asset_7"": 0.004517078665652123, ""asset_8"": 0.0025599012864589, ""asset_9"": 0.0021925940441427007, ""asset_10"": 0.0029903243963103204, ""asset_11"": 0.00595119319713612, ""asset_12"": 0.004011265643857021, ""asset_13"": 0.002382299429569125, ""asset_14"": 0.0022890612494984837, ""asset_15"": 0.0022960937743865513, ""asset_16"": 0.0052410215631824505, ""asset_17"": 0.003049717328038931, ""asset_18"": 0.0022257166129399496, ""asset_19"": 0.002132295553231371, ""asset_20"": 0.0022653710360982034, ""asset_21"": 0.0028889050411071092, ""asset_22"": 0.0025216032280557747, ""asset_23"": 0.002700622415928183, ""asset_24"": 0.002343517423697973, ""asset_25"": 0.0025040447611755327, ""UST2Y"": 2.7394993766436473e-05, ""UST5Y"": 0.00013130191626828968, ""UST10Y"": 0.0003248115525540184}","{""PLS1"": -0.5411641770939151, ""PLS2"": -1.091963944532319}",factor_apt,0.0,0.013172611892060464,1.0,5.0,True,-0.006764010958802097,0.0,training_logs/pipinn/refit_001_20000131.csv,1980-02-29,2000-01-31,1
rolling240m_annual,rolling,1,1,240,,2000-02-29,2000-03-31,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,-0.07510855027624812,-0.07510855027624812,0.8253069211734078,1.0,"{""asset_1"": 0.08434508206649953, ""asset_2"": 0.1285032164902603, ""asset_3"": 0.12303738387619965, ""asset_4"": 0.1280439814941997, ""asset_5"": 0.15864199903011933, ""asset_6"": 0.049318027270732874, ""asset_7"": 0.059258995218585096, ""asset_8"": 0.02853751846123826, ""asset_9"": 0.04022261385401348, ""asset_10"": 0.07754571317936318, ""asset_11"": 0.023667447724376928, ""asset_12"": 0.019062975114304638, ""asset_13"": 0.0, ""asset_14"": 0.0, ""asset_15"": 0.013330179061014436, ""asset_16"": 0.027758658690088145, ""asset_17"": 0.016007662486057814, ""asset_18"": 0.0, ""asset_19"": 0.0, ""asset_20"": 0.0, ""asset_21"": 0.02046301669278763, ""asset_22"": 0.002255529290158955, ""asset_23"": 0.0, ""asset_24"": 0.0, ""asset_25"": 0.0, ""UST2Y"": 0.0, ""UST5Y"": 0.0, ""UST10Y"": 0.0}",0.7617928573288382,"{""asset_1"": 0.011452999937399306, ""asset_2"": 0.010962469877672524, ""asset_3"": 0.0043715123574911, ""asset_4"": 0.004508389535094392, ""asset_5"": 0.002867685074241253, ""asset_6"": 0.009439709050261416, ""asset_7"": 0.005429338643828934, ""asset_8"": 0.0025240644872956373, ""asset_9"": 0.0023504628549521843, ""asset_10"": 0.0034769828945712847, ""asset_11"": 0.007234732749395698, ""asset_12"": 0.00439281440884111, ""asset_13"": 0.0023201450576840663, ""asset_14"": 0.002230396865382523, ""asset_15"": 0.0022378825223814914, ""asset_16"": 0.006949446625821001, ""asset_17"": 0.0029600970743351505, ""asset_18"": 0.0021791990491009474, ""asset_19"": 0.0020875470552970924, ""asset_20"": 0.0022292591040115224, ""asset_21"": 0.002797908660068388, ""asset_22"": 0.002543568617654808, ""asset_23"": 0.0028154904480198538, ""asset_24"": 0.0025696994920999354, ""asset_25"": 0.0026482362229766306, ""UST2Y"": 2.9191408458235932e-05, ""UST5Y"": 0.00013725291619905624, ""UST10Y"": 0.0003410303051263314}","{""PLS1"": 0.903971916460964, ""PLS2"": -1.3811445918822118}",factor_apt,0.0,0.02160103049683339,1.0,5.0,True,-0.0059201741816055035,0.0,training_logs/pipinn/refit_002_20000229.csv,1980-03-31,2000-02-29,2
rolling240m_annual,rolling,1,1,240,,2000-02-29,2000-03-31,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,-0.05557995053788567,-0.05557995053788567,0.9309508163845011,0.9999583881942662,"{""asset_1"": 0.0005579545265614106, ""asset_2"": 0.1250787471058317, ""asset_3"": 0.026334657188483407, ""asset_4"": 0.0718821726794614, ""asset_5"": 0.7733725634628338, ""asset_6"": 0.0002312810060688428, ""asset_7"": 0.00023605162206662974, ""asset_8"": 0.00013519288452795881, ""asset_9"": 0.00014888033154358637, ""asset_10"": 0.00027197837658270277, ""asset_11"": 0.00015634757645014498, ""asset_12"": 0.00013095673930738324, ""asset_13"": 8.781653749158523e-05, ""asset_14"": 8.819563599638162e-05, ""asset_15"": 0.00011416132740743312, ""asset_16"": 0.00016529523413852512, ""asset_17"": 0.00012556787919985575, ""asset_18"": 9.141711984023878e-05, ""asset_19"": 6.935909375435419e-05, ""asset_20"": 8.574581681956019e-05, ""asset_21"": 0.00013811877494428307, ""asset_22"": 0.00011018072241012387, ""asset_23"": 8.93965240827129e-05, ""asset_24"": 7.524761242593957e-05, ""asset_25"": 9.830842985959479e-05, ""UST2Y"": 3.2140903946201184e-05, ""UST5Y"": 2.678594723775584e-05, ""UST10Y"": 2.386713499283207e-05}",0.7617928573288382,"{""asset_1"": 0.011452999937399306, ""asset_2"": 0.010962469877672524, ""asset_3"": 0.0043715123574911, ""asset_4"": 0.004508389535094392, ""asset_5"": 0.002867685074241253, ""asset_6"": 0.009439709050261416, ""asset_7"": 0.005429338643828934, ""asset_8"": 0.0025240644872956373, ""asset_9"": 0.0023504628549521843, ""asset_10"": 0.0034769828945712847, ""asset_11"": 0.007234732749395698, ""asset_12"": 0.00439281440884111, ""asset_13"": 0.0023201450576840663, ""asset_14"": 0.002230396865382523, ""asset_15"": 0.0022378825223814914, ""asset_16"": 0.006949446625821001, ""asset_17"": 0.0029600970743351505, ""asset_18"": 0.0021791990491009474, ""asset_19"": 0.0020875470552970924, ""asset_20"": 0.0022292591040115224, ""asset_21"": 0.002797908660068388, ""asset_22"": 0.002543568617654808, ""asset_23"": 0.0028154904480198538, ""asset_24"": 0.0025696994920999354, ""asset_25"": 0.0026482362229766306, ""UST2Y"": 2.9191408458235932e-05, ""UST5Y"": 0.00013725291619905624, ""UST10Y"": 0.0003410303051263314}","{""PLS1"": 0.903971916460964, ""PLS2"": -1.3811445918822118}",factor_apt,0.0009332642327417464,0.02160103049683339,1.0,5.0,True,-0.0059201741816055035,0.0,training_logs/pipinn/refit_002_20000229.csv,1980-03-31,2000-02-29,2
rolling240m_annual,rolling,1,1,240,,2000-02-29,2000-03-31,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,-0.05517439437531707,-0.05517439437531707,0.9297583364321137,0.9999580832068766,"{""asset_1"": 0.0005370202277357502, ""asset_2"": 0.12239783563757069, ""asset_3"": 0.026489453747946295, ""asset_4"": 0.07266727190447568, ""asset_5"": 0.775126169546286, ""asset_6"": 0.00022738291894399852, ""asset_7"": 0.00023421313765610346, ""asset_8"": 0.00013583214721275518, ""asset_9"": 0.00015029901078814824, ""asset_10"": 0.0002739525617476126, ""asset_11"": 0.00015557299175970507, ""asset_12"": 0.0001310466562753079, ""asset_13"": 8.825077015783389e-05, ""asset_14"": 8.88484427349195e-05, ""asset_15"": 0.00011521698919039477, ""asset_16"": 0.0001656698462075085, ""asset_17"": 0.00012582023443064787, ""asset_18"": 9.199487593538412e-05, ""asset_19"": 6.997977386709833e-05, ""asset_20"": 8.653049829397703e-05, ""asset_21"": 0.00013987547911328954, ""asset_22"": 0.00011095103735093729, ""asset_23"": 9.009514775367958e-05, ""asset_24"": 7.587565425074408e-05, ""asset_25"": 9.932299917245328e-05, ""UST2Y"": 3.243469459209905e-05, ""UST5Y"": 2.7052167980416236e-05, ""UST10Y"": 2.411410744721095e-05}",0.7617928573288382,"{""asset_1"": 0.011452999937399306, ""asset_2"": 0.010962469877672524, ""asset_3"": 0.0043715123574911, ""asset_4"": 0.004508389535094392, ""asset_5"": 0.002867685074241253, ""asset_6"": 0.009439709050261416, ""asset_7"": 0.005429338643828934, ""asset_8"": 0.0025240644872956373, ""asset_9"": 0.0023504628549521843, ""asset_10"": 0.0034769828945712847, ""asset_11"": 0.007234732749395698, ""asset_12"": 0.00439281440884111, ""asset_13"": 0.0023201450576840663, ""asset_14"": 0.002230396865382523, ""asset_15"": 0.0022378825223814914, ""asset_16"": 0.006949446625821001, ""asset_17"": 0.0029600970743351505, ""asset_18"": 0.0021791990491009474, ""asset_19"": 0.0020875470552970924, ""asset_20"": 0.0022292591040115224, ""asset_21"": 0.002797908660068388, ""asset_22"": 0.002543568617654808, ""asset_23"": 0.0028154904480198538, ""asset_24"": 0.0025696994920999354, ""asset_25"": 0.0026482362229766306, ""UST2Y"": 2.9191408458235932e-05, ""UST5Y"": 0.00013725291619905624, ""UST10Y"": 0.0003410303051263314}","{""PLS1"": 0.903971916460964, ""PLS2"": -1.3811445918822118}",factor_apt,0.0,0.02160103049683339,1.0,5.0,True,-0.0059201741816055035,0.0,training_logs/pipinn/refit_002_20000229.csv,1980-03-31,2000-02-29,2
rolling240m_annual,rolling,1,1,240,,2000-02-29,2000-03-31,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,0.01697813573636419,0.01697813573636419,0.11129402281612046,0.9999999999999999,"{""asset_1"": 0.03571428571428571, ""asset_2"": 0.03571428571428571, ""asset_3"": 0.03571428571428571, ""asset_4"": 0.03571428571428571, ""asset_5"": 0.03571428571428571, ""asset_6"": 0.03571428571428571, ""asset_7"": 0.03571428571428571, ""asset_8"": 0.03571428571428571, ""asset_9"": 0.03571428571428571, ""asset_10"": 0.03571428571428571, ""asset_11"": 0.03571428571428571, ""asset_12"": 0.03571428571428571, ""asset_13"": 0.03571428571428571, ""asset_14"": 0.03571428571428571, ""asset_15"": 0.03571428571428571, ""asset_16"": 0.03571428571428571, ""asset_17"": 0.03571428571428571, ""asset_18"": 0.03571428571428571, ""asset_19"": 0.03571428571428571, ""asset_20"": 0.03571428571428571, ""asset_21"": 0.03571428571428571, ""asset_22"": 0.03571428571428571, ""asset_23"": 0.03571428571428571, ""asset_24"": 0.03571428571428571, ""asset_25"": 0.03571428571428571, ""UST2Y"": 0.03571428571428571, ""UST5Y"": 0.03571428571428571, ""UST10Y"": 0.03571428571428571}",0.7617928573288382,"{""asset_1"": 0.011452999937399306, ""asset_2"": 0.010962469877672524, ""asset_3"": 0.0043715123574911, ""asset_4"": 0.004508389535094392, ""asset_5"": 0.002867685074241253, ""asset_6"": 0.009439709050261416, ""asset_7"": 0.005429338643828934, ""asset_8"": 0.0025240644872956373, ""asset_9"": 0.0023504628549521843, ""asset_10"": 0.0034769828945712847, ""asset_11"": 0.007234732749395698, ""asset_12"": 0.00439281440884111, ""asset_13"": 0.0023201450576840663, ""asset_14"": 0.002230396865382523, ""asset_15"": 0.0022378825223814914, ""asset_16"": 0.006949446625821001, ""asset_17"": 0.0029600970743351505, ""asset_18"": 0.0021791990491009474, ""asset_19"": 0.0020875470552970924, ""asset_20"": 0.0022292591040115224, ""asset_21"": 0.002797908660068388, ""asset_22"": 0.002543568617654808, ""asset_23"": 0.0028154904480198538, ""asset_24"": 0.0025696994920999354, ""asset_25"": 0.0026482362229766306, ""UST2Y"": 2.9191408458235932e-05, ""UST5Y"": 0.00013725291619905624, ""UST10Y"": 0.0003410303051263314}","{""PLS1"": 0.903971916460964, ""PLS2"": -1.3811445918822118}",factor_apt,0.0,0.02160103049683339,1.0,5.0,True,-0.0059201741816055035,0.0,training_logs/pipinn/refit_002_20000229.csv,1980-03-31,2000-02-29,2
