rank,strategy,IS_months,IS_ann_ret,IS_ann_vol,IS_sharpe,IS_cer_ann,IS_avg_turnover,IS_avg_risky_weight,IS_max_drawdown,OOS_months,OOS_ann_ret,OOS_ann_vol,OOS_sharpe,OOS_cer_ann,OOS_avg_turnover,OOS_avg_risky_weight,OOS_max_drawdown,IS_OOS_months,IS_OOS_ann_ret,IS_OOS_ann_vol,IS_OOS_sharpe,IS_OOS_cer_ann,IS_OOS_avg_turnover,IS_OOS_avg_risky_weight,IS_OOS_max_drawdown
1,myopic,240,0.1118609316672651,0.1071944329717646,1.046300066636744,0.0834309262111,0.4170333450644437,0.7197141663110355,-0.1073360681438952,239,0.0602181710070617,0.1211386132406226,0.5442788654602246,0.0292467779333781,0.4632091231660264,0.8059365271217359,-0.2443254965707679,479,0.08578645000064178,0.11443999494721306,0.7785181710617711,0.056352334453827264,0.44007303392932523,0.7627353442520739,-0.2443254965707674
1,pipinn,240,0.1381376274152033,0.1097965099158591,1.2387187805533506,0.1058688148977284,0.7224775031121643,0.8093488363533666,-0.1213977710789795,239,0.0875834234723182,0.135763553876249,0.6880595965483981,0.0473340597032956,0.7553076026571112,0.9429040176412506,-0.2642111077597507,479,0.11262618832132754,0.12346182795130312,0.9294748857649711,0.07664761102867906,0.7388582834696638,0.8759870165784278,-0.26421110775975054
1,pipinn_zero,240,0.1277943551061722,0.1169090197894528,1.0916626319256366,0.0934559109688737,0.7809584293656531,0.846484738644971,-0.1573399737455975,239,0.0845733313421501,0.1404530983475107,0.6500012546182964,0.0419770080523701,0.7678701638995378,0.9654263477785742,-0.268344470790396,479,0.10601784452078378,0.12916532547536297,0.8477342667904612,0.06778866922371699,0.7744279587051071,0.9058313870435747,-0.2683444707903958
2,myopic,240,0.1009787916210984,0.1187156492947021,0.874122749912319,0.0685385363504547,0.4097384037331663,0.747297575538336,-0.2386798095967207,239,0.0796722162528338,0.128685116890635,0.661549534876955,0.0437319309516951,0.4261155691674624,0.8658933301477865,-0.2219429140703315,479,0.09029569799647064,0.12369010592013452,0.7637738808031992,0.056223166459244675,0.4179098912880656,0.8064716576921119,-0.23867980959672053
2,pipinn,240,0.1281461528333292,0.1093983231077748,1.161628964924826,0.0971602780892134,0.7114428531755314,0.8199953277167105,-0.123996646591449,239,0.0895879883666681,0.137947102235976,0.6927985265008726,0.0479960416258923,0.733817032798195,0.9461520398148746,-0.2672933680774115,479,0.10873970940311506,0.12441710779719889,0.8950360537640908,0.07265875540199687,0.7226065878933111,0.8829419961748758,-0.26729336807741133
2,pipinn_zero,240,0.1163364859237174,0.1219436078607294,0.9681728936407544,0.0808868869382874,0.7567804165310593,0.8572343544078628,-0.2058969168518806,239,0.090021513249749,0.1410602957993299,0.6835305203039902,0.0466739997544646,0.7375960455717361,0.9675154417194556,-0.2693621801122627,479,0.1031280012461262,0.13172804252942058,0.814278773375723,0.06388265591845957,0.7472082564908124,0.9122597821061313,-0.26936218011226265
3,myopic,240,0.1163500085729554,0.1047407410030033,1.1068266114783278,0.0885032823834377,0.4107460394684223,0.6875399357267981,-0.1272783538821856,239,0.0617623734889247,0.1154453377095619,0.5778690418564832,0.0333932216918356,0.4910016307273515,0.75985665523317,-0.2215770622163211,479,0.08877109619737511,0.11032594298783094,0.8282044631575349,0.060942904144200026,0.45079006099427626,0.7236228082988709,-0.2227574156219434
3,pipinn,240,0.1402204855727202,0.1051752733965214,1.305647146804588,0.1096672002894781,0.7065717780916926,0.7642907425891298,-0.1046676704999935,239,0.0940266466149888,0.1273269194376256,0.7715168523064622,0.0577045030647064,0.8292651700505042,0.9380627134707724,-0.2528395411618452,479,0.11693298878073666,0.11676887437797379,1.008994314999848,0.08373170535755939,0.7677904016369036,0.8509953376636863,-0.25283954116184515
3,pipinn_zero,240,0.13421425008679,0.1100456374676242,1.2041251507542392,0.1022336139914099,0.7691682809090472,0.8160467076865778,-0.1448087084106707,239,0.0833202525332681,0.1336151744722761,0.6674913786053736,0.0445544398879551,0.8386012868891889,0.9527345990783564,-0.2587369079351379,479,0.10852832133192791,0.12240653682319709,0.9059407472198773,0.07343466879158284,0.8038123068573851,0.8842479729112858,-0.2587369079351379
4,myopic,240,0.1169946208630743,0.1037528977169813,1.1219853991074455,0.0894975768918653,0.3997127029072733,0.6712573690545923,-0.1351703542717974,239,0.0610094678540658,0.1143924063206121,0.5757893937654402,0.0331518777271651,0.4828700393915635,0.7652471254071852,-0.2084744796546268,479,0.08870064790906707,0.1093210862376326,0.8341514674476226,0.061312594767649574,0.4412045680841947,0.7181541368380365,-0.21148560328821076
4,pipinn,240,0.1439708664147352,0.1042982211887314,1.347582481677145,0.1133551583861886,0.6965706552913858,0.7491839823820737,-0.1044208111010376,239,0.0946870094140857,0.1244565442331118,0.7912671589070712,0.0597547976566053,0.90259875764201,0.9416901538409618,-0.2172673122278355,479,0.11910910164566535,0.11484042728061461,1.0410822683286862,0.08658752318415248,0.7993696458170626,0.8452361222122914,-0.21726731222783557
