refit_index,decision_date,train_window_start,train_window_end,epoch_in_outer,lr,train_total,train_pde,train_bc,train_bc_dx,val_total,val_pde,val_bc,val_bc_dx,val_grad_l2_mean,val_grad_l2_std,val_grad_l2_cv,val_grad_dir_cos_mean,outer_iter,global_epoch
15,2014-01-31,1994-02-28,2014-01-31,1,0.0005,0.695541423022592,0.01965124439354445,0.060796704060831985,0.022641046006909242,0.1351793472005289,0.01639641504564622,0.00992515117719276,0.00651047346098503,0.10051479941379741,0.02747952837913733,0.2733878818443665,0.888592121324167,1,1
15,2014-01-31,1994-02-28,2014-01-31,2,0.0005,0.1413453698048861,0.016535197029507093,0.010610785121468468,0.006234107186898109,0.1352604915204739,0.013995952997107049,0.011639433536775379,0.0016234010518710235,0.07307268699878543,0.028100144071980963,0.3845505734296791,0.7855430977467269,1,2
15,2014-01-31,1994-02-28,2014-01-31,3,0.0005,0.12432224011288145,0.014271342080922383,0.010468478029010903,0.0017887059139500168,0.13137425640321698,0.012834521097084727,0.011091852704305469,0.002540402754359185,0.05673905167025162,0.022595701253343703,0.39823895870560894,0.29229888045184,1,3
15,2014-01-31,1994-02-28,2014-01-31,4,0.0005,0.12972057426075362,0.013187644456661294,0.010846056836066141,0.0026907871478103057,0.12945935801276723,0.012439862684614151,0.010050664538221,0.005504283315314359,0.052872524042429835,0.020364914777199726,0.38517008145264525,0.03245336798483658,1,4
15,2014-01-31,1994-02-28,2014-01-31,5,0.0005,0.13702607061592526,0.012832055996733791,0.010775079752076925,0.005481072366140743,0.13170597244472254,0.012436851347368277,0.010102168954271198,0.006082477184880763,0.054292543321752394,0.020890726225927508,0.38478075556974045,0.05605047454245454,1,5
15,2014-01-31,1994-02-28,2014-01-31,6,0.0005,0.13956832408121797,0.012844605283443913,0.010895214443009742,0.005923858122558879,0.0906105817177309,0.01247524202245189,0.006642077825013806,0.0039048538150469815,0.05493925895080971,0.021040359551336808,0.3829749357777199,0.14298543452518025,1,6
15,2014-01-31,1994-02-28,2014-01-31,7,0.0005,0.09510664133327339,0.0128920810258111,0.007100358433010262,0.003736991992453222,0.0360966845868884,0.012492557576516683,0.0019256458586284107,0.0014492228080292045,0.05762525411062894,0.026406529270140124,0.4582457677531298,0.34431376467690294,1,7
15,2014-01-31,1994-02-28,2014-01-31,8,0.0005,0.036843675889162195,0.012919607427208293,0.0019856437257083875,0.0013558770682900096,0.04436909641594616,0.012458369509832156,0.0028195635524677,0.0012383637938123374,0.07114043960762516,0.029100319450168333,0.4090545293452853,0.771443771952302,1,8
15,2014-01-31,1994-02-28,2014-01-31,9,0.0005,0.04139083923751494,0.012903846217790501,0.002474107047363185,0.001248640848697529,0.07608903833897764,0.012459828584251334,0.005629851135530736,0.002443566133139648,0.08147792170097055,0.027684575302566388,0.33978008256507275,0.8527615516322425,1,9
15,2014-01-31,1994-02-28,2014-01-31,10,0.0005,0.07297385114739212,0.012925787394366745,0.005268659929565319,0.002453821485790727,0.07272993250247849,0.012418045850692843,0.005200419737286023,0.002769229759641805,0.08292252720504484,0.02756543269571515,0.3324239298101638,0.8575735732016943,1,10
