oos_protocol,train_window_mode,refit_every,rebalance_every,rolling_train_months,fixed_train_end,strategy_display,strategy,strategy_legacy_label,comparison_role,benchmark_primary,benchmark_note,benchmark_source,cross_mode,months,ann_ret,ann_vol,sharpe,cer_ann,avg_turnover,avg_risky_weight,max_drawdown
rolling240m_annual,rolling,12,1,240,,myopic,myopic,predictive_static,reference_only,False,reference-only myopic benchmark,,reference,239,0.05720337188200553,0.08190325652912672,0.7214889860580392,0.042321938932861264,0.3284537750868217,0.655273511505805,-0.14429444125329793
rolling240m_annual,rolling,12,1,240,,pipinn,pipinn,ppgdpo,method_candidate,False,PI-PINN value-gradient projection with estimated cross,,estimated,239,0.07600643521458661,0.10059465123746938,0.7803714257145066,0.05320298176146729,0.7294220461400361,0.9198511077539573,-0.2177620491347575
rolling240m_annual,rolling,12,1,240,,pipinn_zero,pipinn_zero,ppgdpo_zero,method_candidate,False,PI-PINN value-gradient projection with zero cross,,zero,239,0.07970197069889262,0.10906963198177892,0.7594834421607106,0.05309611798112165,0.7048341051479887,0.9362042391385725,-0.2510812865762002
rolling240m_annual,rolling,12,1,240,,equal_weight,equal_weight,equal_weight,external_benchmark,True,standard external benchmark,,benchmark,239,0.05952448202629368,0.10839228868037327,0.5891641767473172,0.03448863291270624,0.027324782616345154,1.0,-0.38382737606518536
rolling240m_annual,rolling,12,1,240,,min_variance,min_variance,min_variance,external_benchmark,True,standard external benchmark,,benchmark,239,0.009339396781785858,0.010115561238259671,0.9243768000236379,0.009094778679953168,0.0041523229576054055,0.305837818537421,-0.013640921346801727
rolling240m_annual,rolling,12,1,240,,risk_parity,risk_parity,risk_parity,external_benchmark,True,standard external benchmark,,benchmark,239,0.017003477728279037,0.03114666265071731,0.5572194316911449,0.014930239175614535,0.018542471469262554,0.5394893960907468,-0.09821107532019857
